channel,label,current_spend,optimal_spend,change_pct,confidence
television,Television,109693.09000000001,50000.0,-54.4182773955953,HIGH
radio,Radio,60202.128528528534,54181.91567567568,-10.000000000000004,NONE
panneaux,Panneaux (Outdoor),8124.861771771772,7312.375594594595,-9.999999999999993,NONE
social_media,Social Media,22983.90553861111,15000.0,-34.73694026978484,MEDIUM
preroll,Preroll (Video),25066.482834084087,64586.13132454245,157.65932840295258,HIGH
banniere_web,Web Banners,22989.09013400901,20000.0,-13.00221155593751,MEDIUM
circulaire_digitale,Digital Flyers,12404.047822822824,11163.643040540543,-9.999999999999991,NONE
