year,month,month_num,channel_group,spend
2025,FEVRIER,2,Social_Media,20000.0
2025,JANVIER,1,Banniere_Web,35000.0
2025,JANVIER,1,Circulaire_Digitale,9150.0
2025,JANVIER,1,Panneaux,65000.0
2025,JANVIER,1,Social_Media,25000.0
2025,JUILLET,7,Banniere_Web,20000.0
2025,JUILLET,7,Circulaire_Digitale,40000.0
2025,JUILLET,7,Preroll,40000.0
2025,JUILLET,7,Radio,46914.01
2025,JUILLET,7,Social_Media,20000.0
2025,JUILLET,7,Television,150000.0
2025,JUIN,6,Banniere_Web,52112.0
2025,JUIN,6,Preroll,30000.0
2025,JUIN,6,Radio,144001.52
2025,JUIN,6,Social_Media,20000.0
2025,MAI,5,Banniere_Web,60362.0
2025,MAI,5,Circulaire_Digitale,40000.0
2025,MAI,5,Panneaux,60000.0
2025,MAI,5,Preroll,40000.0
2025,MAI,5,Radio,146484.92
2025,MAI,5,Social_Media,20000.0
2025,MAI,5,Television,180000.0
2025,MARS,3,Banniere_Web,51896.0
2025,MARS,3,Panneaux,20000.0
2025,MARS,3,Preroll,40000.0
2025,MARS,3,Social_Media,15000.0
2025,MARS,3,Television,275000.0
2025,NOVEMBRE,11,Banniere_Web,25709.08
2025,NOVEMBRE,11,Circulaire_Digitale,15950.0
2025,NOVEMBRE,11,Radio,4431.5
2025,NOVEMBRE,11,Social_Media,18375.0
2025,OCTOBRE,10,Banniere_Web,20000.0
2025,OCTOBRE,10,Radio,69631.1
2025,OCTOBRE,10,Social_Media,15000.0
2025,SEPTEMBRE,9,Banniere_Web,38250.0
2025,SEPTEMBRE,9,Preroll,60000.0
2025,SEPTEMBRE,9,Social_Media,15000.0
2025,SEPTEMBRE,9,Television,140000.0
