Channel,Months,Spend,Impressions,Clicks,CPM,CPC,CTR,Occasions,PEB,Cost_Per_Occ,Cost_Per_PEB
Social Media,12,214863.94999999998,40848093.0,203791.0,5.260072973296452,1.0543348332360114,0.49889966711542694,,,,
Preroll (Video),5,296320.0,11041521.0,29670.0,26.836882346191256,9.987192450286484,0.26871297894556373,,,,
Web Banners,12,492741.64,51500504.0,490967.0,9.56770520148696,1.0036145810207204,0.9533246509587556,,,,
Digital Flyers,6,161550.0,6561342.0,31060.0,24.621487494479023,5.201223438506117,0.47337876916033333,,,,
Television,5,1042993.9199999998,,,,,,2590.0,2232.74,402.70035521235513,467.1363078549226
Radio,9,799103.1900000001,,,,,,17451.0,17550.199999999997,45.791254942410184,45.53242641109504
Panneaux (DOOH),5,161491.03,,,,,,3869693.0,2915.0,0.041732258863946055,55.400010291595194
