channel,spend,saturation
television,0.0,0.0
television,7965.485307878789,0.002951864522470113
television,15930.970615757578,0.011703813871049816
television,23896.455923636368,0.025953881955316803
television,31861.941231515157,0.045227261145177694
television,39827.42653939394,0.06891439040292
television,47792.911847272735,0.09631619069056138
television,55758.39715515153,0.12669062995775468
television,63723.88246303031,0.15929554142661836
television,71689.3677709091,0.19342408967246175
television,79654.85307878788,0.22843101016727668
television,87620.33838666668,0.26374933178154625
television,95585.82369454547,0.29889847516803736
television,103551.30900242426,0.33348531922378755
television,111516.79431030306,0.36720008830667233
television,119482.27961818184,0.3998088488543528
television,127447.76492606063,0.4311441454563266
television,135413.2502339394,0.46109496490055346
television,143378.7355418182,0.4895968712853083
television,151344.22084969698,0.5166228520086804
television,159309.70615757577,0.542175173178653
television,167275.19146545458,0.5662783661290713
television,175240.67677333337,0.5889733470005654
television,183206.16208121215,0.610312597453616
television,191171.64738909094,0.630356294740564
television,199137.13269696973,0.6491692631514769
television,207102.6180048485,0.6668186179154522
television,215068.1033127273,0.6833719807610973
television,223033.5886206061,0.6988961591526014
television,230999.0739284849,0.7134561958327099
television,238964.55923636368,0.7271147099303962
television,246930.04454424247,0.7399314645108381
television,254895.52985212125,0.7519631075575524
television,262861.01516000007,0.7632630438088501
television,270826.5004678788,0.7738814036469163
television,278791.98577575764,0.7838650824882123
television,286757.4710836364,0.7932578300281573
television,294722.9563915152,0.8021003734445962
television,302688.44169939397,0.8104305624503795
television,310653.9270072728,0.8182835270754643
television,318619.41231515154,0.8256918414018559
television,326584.89762303035,0.8326856882968363
television,334550.38293090917,0.8392930215965716
television,342515.8682387879,0.8455397232698953
television,350481.35354666674,0.8514497539109831
television,358446.8388545455,0.8570452955262062
television,366412.3241624243,0.8623468860396943
television,374377.80947030307,0.8673735452796816
television,382343.2947781819,0.872142892451714
television,390308.7800860607,0.8766712552772601
television,398274.26539393945,0.8809737710944404
television,406239.75070181827,0.885064480294826
television,414205.236009697,0.8889564125169384
television,422170.72131757584,0.8926616660411858
television,430136.2066254546,0.8961914808386341
television,438101.6919333334,0.8995563057219133
television,446067.1772412122,0.902765860034269
television,454032.662549091,0.9058291902949592
television,461998.1478569698,0.9087547221978889
television,469963.63316484855,0.9115503083370539
television,477929.11847272736,0.9142232720081386
television,485894.6037806061,0.9167804474112474
television,493860.08908848494,0.9192282165558296
television,501825.5743963637,0.9215725431457472
television,509791.0597042425,0.9238190037003954
television,517756.5450121213,0.9259728161469694
television,525722.0303200001,0.9280388660994532
television,533687.5156278788,0.9300217310217278
television,541653.0009357576,0.9319257024553382
