channel,coef,ci_lo,ci_hi,significant,r_deseasoned
television,8112482.9957584785,4139788.816245709,12132977.615518358,True,0.6154075756133849
radio,7033.448357762634,-9917.75835512214,26877.796279438524,False,0.1145163105126053
panneaux,-2439.2458625888935,-18753.374428223866,18949.502692970636,False,-0.04753147999113239
social_media,41948.808843383216,-19821.748115954095,92432.15176485483,False,0.2376038231951293
preroll,9979607.582524898,6442085.1477892,14274832.09944567,True,0.625562982246997
banniere_web,9992077.167404156,3308056.320817099,18106950.602607697,True,0.3750932583499892
circulaire_digitale,4940.23018066163,-22868.17175108897,30703.898501383843,False,0.054675075856499174
