channel,current,recommended,change_pct,roas,confidence,action
Television,109693.09000000001,80000.0,-27.069243832952477,4.491156689107751,HIGH,DECREASE
Radio,60202.128528528534,48161.70282282283,-19.999999999999996,0.0,NONE,DECREASE
Panneaux (Outdoor),8124.861771771772,6499.8894174174175,-20.0,0.0,NONE,DECREASE
Social Media,22983.90553861111,35911.200262236496,56.244987179870584,16.279891702323155,MEDIUM,INCREASE
Preroll (Video),25066.482834084087,50630.71761828298,101.98572712976703,27.6834530592553,HIGH,INCREASE
Web Banners,22989.09013400901,30336.858250809368,31.96197880807125,12.198057514836584,MEDIUM,INCREASE
Digital Flyers,12404.047822822824,9923.23825825826,-20.0,0.0,NONE,DECREASE
