channel,label,spend,contribution,share_pct,roas,deseas_significant,confidence
television,Television,3948951.24,75367848.43267623,14.708458627788023,19.0855353363837,True,HIGH
radio,Radio,2167276.6270270273,88274218.06892239,17.227209100003478,40.73048034943882,False,MEDIUM
panneaux,Panneaux (Outdoor),292495.0237837838,8795861.602335963,1.7165617589478253,30.071833320617383,False,MEDIUM
social_media,Social Media,827420.59939,245144019.02428484,47.84123119673803,296.27497696457226,False,MEDIUM
preroll,Preroll (Video),902393.3820270271,131610332.67448975,25.68449509158176,145.84585314539459,True,HIGH
banniere_web,Web Banners,827607.2448243244,136109008.0992855,26.56243684979132,164.46087072156706,True,HIGH
circulaire_digitale,Digital Flyers,446545.72162162163,53897845.90330929,10.518467132624355,120.69950129088768,False,MEDIUM
