channel,spend,saturation
television,0.0,0.0
television,6719.083787878788,0.003280717338343701
television,13438.167575757576,0.012994970874596126
television,20157.251363636366,0.028771331204066046
television,26876.33515151515,0.050029488269582006
television,33595.41893939394,0.0760314302991933
television,40314.50272727273,0.10594112337040221
television,47033.58651515152,0.1388844065157199
television,53752.6703030303,0.17400222609102217
television,60471.75409090909,0.21049273197498614
television,67190.83787878788,0.24764036723474725
television,73909.92166666666,0.2848322900436331
television,80629.00545454546,0.3215639539355329
television,87348.08924242425,0.3574364004176096
television,94067.17303030303,0.39214792893384304
television,100786.25681818182,0.42548251763065587
television,107505.3406060606,0.4572968793762521
television,114224.4243939394,0.4875075052078262
television,120943.50818181818,0.5160785660531573
television,127662.59196969696,0.5430111568972268
television,134381.67575757575,0.5683340846412441
television,141100.75954545455,0.5920962113419809
television,147819.84333333332,0.6143602496854648
television,154538.92712121212,0.6351978475490013
television,161258.01090909092,0.6546857757935522
television,167977.0946969697,0.67290303414704
television,174696.1784848485,0.6899287040785593
television,181415.26227272727,0.7058403980254189
television,188134.34606060607,0.720713176810577
television,194853.42984848484,0.7346188289661466
television,201572.51363636364,0.7476254255717487
television,208291.5974242424,0.7597970815251366
television,215010.6812121212,0.771193868764582
television,221729.765,0.7818718390026608
television,228448.8487878788,0.7918831232848983
television,235167.9325757576,0.8012760834773119
television,241887.01636363636,0.810095496936815
television,248606.10015151516,0.8183827604245246
television,255325.18393939393,0.826176103044233
television,262044.26772727273,0.833510800846969
television,268763.3515151515,0.840419387920064
television,275482.4353030303,0.8469318604238062
television,282201.5190909091,0.8530758712697278
television,288920.6028787879,0.8588769140463849
television,295639.68666666665,0.8643584954656925
television,302358.77045454545,0.8695422960836845
television,309077.85424242425,0.8744483193892759
television,315796.93803030305,0.8790950295882185
television,322516.02181818185,0.8834994785638635
television,329235.1056060606,0.887677422592231
television,335954.1893939394,0.8916434294419264
television,342673.2731818182,0.8954109765115688
television,349392.356969697,0.8989925406576224
television,356111.44075757574,0.9023996803505651
television,362830.52454545454,0.9056431107722612
television,369549.60833333334,0.9087327724359149
television,376268.69212121214,0.9116778938748185
television,382987.77590909094,0.9144870489092218
television,389706.8596969697,0.9171682089634542
television,396425.9434848485,0.919728790868889
television,403145.0272727273,0.9221757005531259
television,409864.1110606061,0.9245153729822728
television,416583.1948484848,0.9267538086917216
television,423302.2786363636,0.9288966072114188
television,430021.3624242424,0.9309489976643918
television,436740.4462121212,0.9329158667921755
television,443459.53,0.9348017846377
television,450178.61378787877,0.9366110280950891
television,456897.6975757576,0.9383476025165315
television,463616.7813636364,0.9400152615488226
television,470335.8651515152,0.9416175253562014
television,477054.9489393939,0.9431576973715987
television,483774.0327272727,0.9446388797052582
television,490493.1165151515,0.946063987327758
television,497212.2003030303,0.9474357611336638
television,503931.2840909091,0.9487567799822589
television,510650.36787878786,0.9500294718029457
television,517369.45166666666,0.9512561238449022
television,524088.53545454546,0.9524388921433259
television,530807.6192424243,0.9535798102680428
television,537526.703030303,0.9546807974143177
television,544245.7868181819,0.9557436658903319
television,550964.8706060606,0.9567701280509308
television,557683.9543939393,0.9577618027228358
television,564403.0381818182,0.9587202211625264
television,571122.121969697,0.9596468325843792
television,577841.2057575758,0.9605430092933747
television,584560.2895454546,0.9614100514537031
television,591279.3733333333,0.9622491915219069
television,597998.4571212122,0.9630615983707426
television,604717.5409090909,0.9638483811277194
television,611436.6246969698,0.9646105927502504
television,618155.7084848485,0.9653492333575078
television,624874.7922727272,0.9660652533374061
television,631593.8760606061,0.9667595562456048
television,638312.9598484848,0.9674330015120403
television,645032.0436363637,0.9680864069692265
television,651751.1274242424,0.9687205512154144
television,658470.2112121212,0.9693361758246415
television,665189.295,0.9699339874147449
radio,0.0,0.0
radio,2398.9622727272726,0.001930780916356982
radio,4797.924545454545,0.00767864631412761
radio,7196.886818181818,0.017112701231492167
radio,9595.84909090909,0.030022977773648166
radio,11994.811363636363,0.04613183185495335
radio,14393.773636363636,0.06510826981865081
radio,16792.73590909091,0.08658388800732272
radio,19191.69818181818,0.11016909795670188
radio,21590.660454545454,0.13546846072589105
radio,23989.622727272726,0.16209421781685182
radio,26388.585,0.18967742466286008
radio,28787.54727272727,0.21787641084195214
radio,31186.509545454544,0.24638256733115604
radio,33585.47181818182,0.2749236710063606
radio,35984.43409090909,0.30326509261473994
radio,38383.39636363636,0.33120930178818675
radio,40782.358636363635,0.35859409425967653
radio,43181.32090909091,0.3852899382854527
radio,45580.28318181818,0.4111967849295292
radio,47979.24545454545,0.4362406233848823
radio,50378.207727272726,0.460369997572154
radio,52777.17,0.4835526402033477
radio,55176.13227272727,0.5057723288126231
radio,57575.09454545454,0.5270260262856
radio,59974.056818181816,0.5473213360675333
radio,62373.01909090909,0.5666742785532115
radio,64771.98136363636,0.5851073788047244
radio,67170.94363636363,0.6026480452503455
radio,69569.90590909091,0.6193272130113733
radio,71968.86818181818,0.6351782227822159
radio,74367.83045454544,0.650235905762248
radio,76766.79272727272,0.664535846226773
radio,79165.755,0.6781137953392649
radio,81564.71727272727,0.691005212318501
radio,83963.67954545454,0.7032449117814199
radio,86362.64181818182,0.7148667987841816
radio,88761.6040909091,0.7259036756529674
radio,91160.56636363636,0.7363871070592074
radio,93559.52863636363,0.7463473319155369
radio,95958.4909090909,0.7558132125385225
radio,98357.45318181819,0.7648122131480009
radio,100756.41545454545,0.773370401166468
radio,103155.37772727272,0.7815124659662809
radio,105554.34,0.7892617507105631
radio,107953.30227272728,0.7966402937689253
radio,110352.26454545454,0.8036688768835848
radio,112751.2268181818,0.810367077835648
radio,115150.18909090909,0.8167533258335651
radio,117549.15136363637,0.8228449582322388
radio,119948.11363636363,0.828658277506045
radio,122347.0759090909,0.8342086076541533
radio,124746.03818181818,0.8395103494223136
radio,127145.00045454546,0.8445770338903719
radio,129543.96272727272,0.8494213741064687
radio,131942.925,0.8540553145532693
radio,134341.88727272727,0.8584900783136928
radio,136740.84954545455,0.8627362118676598
radio,139139.81181818183,0.8668036275008126
radio,141538.77409090908,0.8707016433437972
radio,143937.73636363636,0.8744390210888859
radio,146336.69863636364,0.8780240014513401
radio,148735.6609090909,0.8814643374575338
radio,151134.62318181817,0.884767325651728
radio,153533.58545454545,0.8879398353195254
radio,155932.54772727273,0.8909883358292868
radio,158331.51,0.8939189221937971
radio,160730.47227272726,0.8967373389537798
radio,163129.43454545454,0.8994490024829076
radio,165528.39681818182,0.902059021811063
radio,167927.35909090907,0.904572218059066
radio,170326.32136363635,0.9069931425740906
radio,172725.28363636363,0.9093260938507329
radio,175124.2459090909,0.9115751333182772
radio,177523.2081818182,0.9137441000702493
radio,179922.17045454544,0.9158366246079174
radio,182321.13272727272,0.9178561416650572
radio,184720.095,0.9198059021770801
radio,187119.05727272725,0.9216889844535667
radio,189518.01954545453,0.9235083046093632
radio,191916.9818181818,0.9252666263057046
radio,194315.9440909091,0.9269665698493311
radio,196714.90636363637,0.9286106206942589
radio,199113.86863636362,0.9302011373877638
radio,201512.8309090909,0.9317403589992216
radio,203911.79318181818,0.9332304120677183
radio,206310.75545454543,0.9346733171017969
radio,208709.7177272727,0.9360709946623283
radio,211108.68,0.9374252710572781
radio,213507.64227272727,0.9387378836750794
radio,215906.60454545455,0.9400104859814068
radio,218305.5668181818,0.941244652202363
radio,220704.52909090908,0.9424418817154399
radio,223103.49136363636,0.9436036031680822
radio,225502.4536363636,0.9447311783422586
radio,227901.4159090909,0.9458259057821282
radio,230300.37818181817,0.9468890242006704
radio,232699.34045454545,0.9479217156800115
radio,235098.30272727273,0.9489251086791362
radio,237497.265,0.9499002808616993
panneaux,0.0,0.0
panneaux,1184.097727272727,0.14077585592295402
panneaux,2368.195454545454,0.39590276983460976
panneaux,3552.2931818181814,0.5958887324935721
