scenario,multiplier,budget,optimized_response,converged,vs_current,vs_current_pct
Cut 15%,0.85,222244.06563535324,808680.3789914239,True,-171372.99923274026,-17.486088313196216
Cut 10%,0.9,235317.2459668446,1153540.5428163407,True,173487.16459217656,17.70180772260911
Cut 5%,0.95,248390.42629833598,1496682.7254681417,True,516629.3472439776,52.714409104950896
Current,1.0,261463.60662982735,1833660.3987384045,True,853607.0205142404,87.09801317770652
Increase 10%,1.1,287609.9672928101,2491506.6824291935,True,1511453.3042050293,154.22152892771518
Increase 20%,1.2,313756.32795579283,2965633.4727773946,True,1985580.0945532303,202.59917864382646
