Channel,Total Spend ($),Spend Effect ($),Impression Effect ($),Total Effect ($),ROAS,Impr Share,CI_Low,CI_High,Significant
Television,3948951.24,15285095.293747839,13420103.667077499,28705198.96082534,7.269068979647704,46.75147413328237,3.447932078707183,9.973371862944235,YES
Radio,2167276.6270270273,-9836090.92813845,-12729150.230718076,-22565241.158856526,-10.41179555828575,56.410432935799015,-17.425191161458933,-0.9724023126717171,no
Panneaux (DOOH),292495.0237837838,330207.4901466586,-850771.6455392344,-520564.1553925758,-1.7797367922996998,72.03951533361513,-15.169203644252379,19.56515257577775,no
Social Media,827420.59939,10835356.959769318,8267678.814324035,19103035.774093352,23.087454902835027,43.27939764179406,-20.584492682519873,60.324371074257535,no
Preroll (Video),902393.3820270271,14543594.47797352,13823308.361758223,28366902.839731745,31.435184925682606,48.730411070456306,13.565780907755835,42.0147728511785,YES
Web Banners,827607.2448243244,6523677.127572991,-4686048.838065585,1837628.2895074058,2.2204110717970793,41.8034201052714,-11.944148323691993,21.773699640183413,no
Digital Flyers,446545.72162162163,759042.6052189902,-1324638.9371046717,-565596.3318856815,-1.2666034058768496,63.57204352962077,-34.09324965024331,40.63651518983539,no
