product,channel,total_spend,ridge_coef_std,ridge_coef_orig,marginal_per_1000,marginal_ci_lo,marginal_ci_hi,roas,total_contribution,contribution_pct,saturation_pct
Total Revenue,television,3948951.24,354332.9737808113,1051962.5589727934,4491.156689107751,1039.6682850154846,7203.757978573055,4.491156689107751,13947496.26374949,2.721932176952592,36.82930047901441
Total Revenue,radio,2167276.6270270273,0.0,0.0,0.0,0.0,6009.789436967461,0.0,0.0,0.0,44.836367550088696
Total Revenue,panneaux,292495.0237837838,0.0,0.0,0.0,0.0,63651.941047770335,0.0,0.0,0.0,40.45218115012567
Total Revenue,social_media,827420.59939,116061.05335808052,666108.0299447129,16279.891702323155,0.0,49041.35732658219,16.279891702323155,12444576.856721712,2.428629019454152,51.89588999447788
Total Revenue,preroll,902393.3820270271,392616.3318877114,1253197.4112043332,27683.4530592553,14372.118280705821,38311.525956556514,27.6834530592553,20462305.748134322,3.9933338125530944,45.35577370419122
Total Revenue,banniere_web,827607.2448243244,108778.49196047208,490786.6360722045,12198.057514836584,0.0,32547.257275980443,12.198057514836584,8803876.420266787,1.7181258956506271,49.82860265763431
Total Revenue,circulaire_digitale,446545.72162162163,0.0,0.0,0.0,0.0,36194.227178095236,0.0,0.0,0.0,46.85475678646795
Above-Ground Pools (HT),television,3948951.24,66675.64023724305,197950.18334508146,845.1111519676822,303.65660034136613,1430.9009445540385,0.8451111519676822,2624532.041625119,2.1102482176601387,36.82930047901441
Above-Ground Pools (HT),radio,2167276.6270270273,14768.862443809605,46658.5378591742,427.7242557112987,0.0,1350.372517122991,0.42772425571129874,753119.7670093186,0.605544005868548,44.836367550088696
Above-Ground Pools (HT),panneaux,292495.0237837838,0.0,0.0,0.0,0.0,17823.199020728396,0.0,0.0,0.0,40.45218115012567
Above-Ground Pools (HT),social_media,827420.59939,18272.348859313806,104870.3070407954,2563.063594286997,0.0,10258.728312322137,2.563063594286997,1959241.6504354454,1.5753231948491737,51.89588999447788
Above-Ground Pools (HT),preroll,902393.3820270271,75992.81711325602,242562.50680803007,5358.268147635458,3179.0892626210793,7580.00620528667,5.358268147635458,3960579.6604462876,3.1844938590205185,45.35577370419122
Above-Ground Pools (HT),banniere_web,827607.2448243244,49231.660055928194,222123.3296365185,5520.6742628066195,1311.264926106825,10266.498452741876,5.52067426280662,3984514.248041571,3.203738402433333,49.82860265763431
Above-Ground Pools (HT),circulaire_digitale,446545.72162162163,0.0,0.0,0.0,0.0,5914.728946315106,0.0,0.0,0.0,46.85475678646795
In-Ground Pools (CR),television,3948951.24,4653.2966704729915,13814.954394163804,58.980354678832185,0.0,119.91151504632153,0.058980354678832184,183166.23833515408,0.40047076742801635,36.82930047901441
