Channel,Coef (original),Total Spend ($),Avg Monthly Spend ($),Total Media Effect ($),ROAS,CI_Low,CI_High,Significant
Television,1914867.7080900085,3948951.24,109693.09000000001,12942896.539857727,3.277552887651691,-0.016163561092053,5.443502247841064,no
Radio,-1108631.22052997,2167276.6270270273,60202.128528528534,-11381794.735452324,-5.2516575842306565,-7.766667943382507,-0.381447720412156,no
Panneaux (DOOH),652768.9817350595,292495.0237837838,8124.861771771772,2233128.7083154465,7.634757950501767,-10.220398731446974,22.240204105722267,no
Social Media,974118.3703754322,827420.59939,22983.90553861111,11545961.643564789,13.954162673828556,-14.637889077702365,35.57145566085732,no
Preroll (Video),1703631.2721582425,902393.3820270271,25066.482834084087,16869007.53447508,18.69362948626971,1.7845382372276002,30.901413869429106,YES
Web Banners,1274397.424687731,827607.2448243244,22989.09013400901,9700135.327171987,11.720698903778963,-3.6296373992642645,25.19931977983167,no
Digital Flyers,38078.43765427754,446545.72162162163,12404.047822822824,277656.519050871,0.6217874354334133,-20.832033352320668,24.007615230438223,no
