year,month,month_num,media_channel,spend
2025,JUIN,6,"LAPRESSE (LP+, PREROLL, DISPLAY)",17112.0
2025,JUIN,6,PREROLL - PREMIUM,30000.0
2025,JUIN,6,RADIO,135501.52
2025,JUIN,6,RADIO NUMÉRIQUE,8500.0
2025,JUIN,6,SOCIAL MEDIA,20000.0
2025,MAI,5,BANNIÈRES WEB - PREMIUM,10000.0
2025,MAI,5,CIRCULAIRE DIGITALE,40000.0
2025,MAI,5,GOOGLE ADS,25000.0
2025,MAI,5,"LAPRESSE (LP+, PREROLL, DISPLAY)",25362.0
2025,MAI,5,PANNEAUX ET AFFICHAGES NUMÉRIQUES,60000.0
2025,MAI,5,PREROLL - PREMIUM,40000.0
2025,MAI,5,RADIO,137984.92
2025,MAI,5,RADIO NUMÉRIQUE,8500.0
2025,MAI,5,SOCIAL MEDIA,20000.0
2025,MAI,5,TELEVISION,180000.0
2025,MARS,3,BANNIÈRES WEB - PREMIUM,10000.0
2025,MARS,3,GOOGLE ADS,25000.0
2025,MARS,3,"LAPRESSE (LP+, PREROLL, DISPLAY)",16896.0
2025,MARS,3,PANNEAUX ET AFFICHAGES NUMÉRIQUES,20000.0
2025,MARS,3,PREROLL - PREMIUM,40000.0
2025,MARS,3,SOCIAL MEDIA,15000.0
2025,MARS,3,TELEVISION,275000.0
2025,NOVEMBRE,11,CIRCULAIRE DIGITALE,15950.0
2025,NOVEMBRE,11,GOOGLE ADS,25709.08
2025,NOVEMBRE,11,RADIO,4431.5
2025,NOVEMBRE,11,SOCIAL MEDIA,18375.0
2025,OCTOBRE,10,BANNIÈRES WEB - PREMIUM,5000.0
2025,OCTOBRE,10,GOOGLE ADS,15000.0
2025,OCTOBRE,10,RADIO,61131.1
2025,OCTOBRE,10,RADIO NUMÉRIQUE,8500.0
2025,OCTOBRE,10,SOCIAL MEDIA,15000.0
2025,SEPTEMBRE,9,BANNIÈRES WEB - PREMIUM,10000.0
2025,SEPTEMBRE,9,GOOGLE ADS,20000.0
2025,SEPTEMBRE,9,"LAPRESSE (LP+, PREROLL, DISPLAY)",8250.0
2025,SEPTEMBRE,9,PREROLL - PREMIUM,60000.0
2025,SEPTEMBRE,9,SOCIAL MEDIA,15000.0
2025,SEPTEMBRE,9,TELEVISION,140000.0
