store_code,division_code,forecast_week,horizon,pred_units,pred_units_lower,pred_units_upper
CP02,BQ,2026-03-29,1,2.2792799246313833,1.4057082116835808,3.6960070560371534
CP02,CH,2026-03-29,1,1.7348531515722736,0.9915240606550462,1.7348531515722736
CP02,FI,2026-03-29,1,1.2331984381523668,0.9998187111112624,1.3265504889193858
CP02,GA,2026-03-29,1,1.1568145265409024,1.025196218082313,1.8179107461088264
CP02,HT,2026-03-29,1,1.0329989366851062,0.9795630883709694,1.290555188073267
CP02,LO,2026-03-29,1,3.9818590575738035,1.507551009344837,22.064988388768736
CP02,ME,2026-03-29,1,3.214672787018539,2.2222784059340475,15.19658125333894
CP02,PA,2026-03-29,1,1.2546782684023499,0.9514496815882286,1.5022767247572721
CP02,PC,2026-03-29,1,27.970446108438516,27.970446108438516,66.64952198112455
CP02,SP,2026-03-29,1,1.0737275722874384,0.8876322861568107,1.093597468255673
CP02,TO,2026-03-29,1,0.966104158973056,0.966104158973056,1.2215114890672207
CP04,BQ,2026-03-29,1,1.1841210891431362,1.0029983886637635,2.115697852825191
CP04,CH,2026-03-29,1,1.1265413598221758,1.0008559473964842,1.4581713170305506
CP04,FI,2026-03-29,1,3.6883122529348835,2.1535389249383083,4.783187293011997
CP04,GA,2026-03-29,1,1.41847283248437,1.2422331402458453,12.46777732012038
CP04,HT,2026-03-29,1,2.7443543529103236,1.0545964327225306,3.771245940562732
CP04,LO,2026-03-29,1,7.235824507192134,4.885593535354228,16.592035274427687
CP04,ME,2026-03-29,1,5.057698569102233,2.8579892287088997,14.787239431140748
CP04,PA,2026-03-29,1,1.9917601950197277,0.9253584228917316,2.9456652668604533
CP04,PC,2026-03-29,1,38.31064555136481,38.31064555136481,90.32315322563475
CP04,SP,2026-03-29,1,1.0553639234459833,0.9999117274403813,1.1890715318681981
CP04,TO,2026-03-29,1,1.1125991130521482,0.9582132157508038,1.1125991130521482
CP05,BQ,2026-03-29,1,2.9981274158467017,1.8751797950426166,3.5908696461215976
CP05,CH,2026-03-29,1,1.0404383986722319,0.9348592179088806,1.2024403251912634
CP05,FI,2026-03-29,1,1.0737629079021564,0.9938123423224802,1.4301988206404237
CP05,GA,2026-03-29,1,1.2088191043386765,0.9622685869583268,2.0565641743161303
CP05,HT,2026-03-29,1,1.9970669231755067,0.8507858946277049,3.528061460310373
CP05,LO,2026-03-29,1,5.847617187705524,4.640835060809589,16.467479084550103
CP05,ME,2026-03-29,1,32.482407728796126,16.177821273992016,42.70905188549688
CP05,PA,2026-03-29,1,6.377317747712941,3.5395785763241605,14.664826213463444
CP05,PC,2026-03-29,1,169.30781436085286,111.09591941015906,176.41507821923534
CP05,SP,2026-03-29,1,1.5021981606600774,0.9494524565550494,10.074908645050371
CP05,TO,2026-03-29,1,1.0979319706961355,0.8818719421327443,3.223732066693179
CP06,BQ,2026-03-29,1,1.2389902714687915,0.9884370794068549,2.424584228519571
CP06,CH,2026-03-29,1,1.0914603047278888,1.063181336009784,1.2385907989721332
CP06,FI,2026-03-29,1,1.3172789248355898,0.9798947250342545,3.166560068144541
CP06,GA,2026-03-29,1,1.5490153211781257,1.1904526480229087,7.334072120445295
CP06,HT,2026-03-29,1,2.972125997039587,0.8172343685092728,10.108873656647935
CP06,LO,2026-03-29,1,7.117086743907694,4.826171693264252,17.46867198087231
CP06,ME,2026-03-29,1,24.459335546808074,10.432271418976802,226.68112527630612
CP06,PA,2026-03-29,1,1.1224496027221413,1.0028212839331172,7.6197875090658815
CP06,PC,2026-03-29,1,71.82790837000687,59.88730251451047,102.04984377465746
CP06,SP,2026-03-29,1,1.0395993945376074,0.9528281271121919,1.1733748512914914
CP06,TO,2026-03-29,1,1.0625520922289877,1.0273097301680763,1.7479779298486096
CP07,BQ,2026-03-29,1,1.137533756938589,1.0571250463989177,1.4359269308112164
CP07,CH,2026-03-29,1,1.1492686351186172,1.0585325051787018,1.6708514014211562
CP07,FI,2026-03-29,1,1.2087166874472537,1.030536328972275,10.132118912129576
CP07,GA,2026-03-29,1,1.2581342522274832,1.0828366051147562,2.450585871184958
CP07,HT,2026-03-29,1,1.9497503834288077,1.0109532834759227,3.220774679580906
CP07,LO,2026-03-29,1,31.322877479869433,16.84452800257118,42.209621148153076
CP07,ME,2026-03-29,1,27.17168892794868,16.494441719124083,157.05947662929296
CP07,PA,2026-03-29,1,1.2322402781953263,0.9564607584873321,15.046443325106518
CP07,PC,2026-03-29,1,68.3464346576782,54.99160511814583,92.30401422959977
CP07,SP,2026-03-29,1,1.0525860112286032,1.0017684008890626,1.2066361018285017
CP07,TO,2026-03-29,1,0.9737224548059649,0.9737224548059649,1.658432216411043
CP08,BQ,2026-03-29,1,1.0278835205438017,1.0278835205438017,1.7185432707729653
CP08,CH,2026-03-29,1,1.6199238709688297,0.8970771575173384,2.855367911985186
CP08,FI,2026-03-29,1,1.3529777238968268,0.9549442849655752,3.506079086029037
CP08,GA,2026-03-29,1,1.4973220272697092,0.9849547337744787,1.540276784475759
CP08,HT,2026-03-29,1,0.9710184653604587,0.8676883320206542,1.1733811895060742
CP08,LO,2026-03-29,1,2.4742186991755624,1.3879704533140258,24.33988428932774
CP08,ME,2026-03-29,1,6.39293646549913,3.5280746483133996,18.306802491527602
CP08,PA,2026-03-29,1,2.3669082214421873,1.090226398792896,5.746273411573325
CP08,PC,2026-03-29,1,60.16534575369738,40.2130998385767,68.68338258055996
CP08,SP,2026-03-29,1,0.9856871952995155,0.9856871952995155,1.125390122048084
CP08,TO,2026-03-29,1,1.0768785082054468,1.0004689537937383,1.4928511018991308
CP10,BQ,2026-03-29,1,1.2270209414052247,0.9488195382748181,5.524551712626594
CP10,CH,2026-03-29,1,1.5447150946249617,0.999215896942191,1.7007900817001977
CP10,FI,2026-03-29,1,2.455110428666478,1.877120719917244,6.661897721499885
CP10,GA,2026-03-29,1,3.28322112082917,0.9682341971992952,23.424157507370424
CP10,HT,2026-03-29,1,1.2445526171423995,0.858324013925519,2.2390845823597667
CP10,LO,2026-03-29,1,27.01695116910199,8.17101660781063,27.68686538777791
CP10,ME,2026-03-29,1,6.333392588849842,3.4123646908707976,18.05064508185705
CP10,PA,2026-03-29,1,2.18181402077184,1.2118875967673095,2.847787447627339
CP10,PC,2026-03-29,1,80.21159826753835,74.36965379275009,111.27905840964802
