store_code,division_code,forecast_week,horizon,pred_revenue,pred_revenue_lower,pred_revenue_upper
CP02,BQ,2026-03-29,1,359.0135451323517,139.33699881467368,337.95528848511077
CP02,CH,2026-03-29,1,6001.376827401832,2299.767196546366,12746.367966093687
CP02,FI,2026-03-29,1,706.9353604129161,369.1932016896163,996.8872639657062
CP02,GA,2026-03-29,1,599.4241625993172,4.3378871084393085,1274.0547092104125
CP02,HT,2026-03-29,1,2795.3383059345956,2453.8834682769266,4231.271493593401
CP02,LO,2026-03-29,1,-140.92142651494854,-0.15337231542747043,76.75650740412117
CP02,ME,2026-03-29,1,886.276640933083,481.72897095299976,1253.0992331827454
CP02,PA,2026-03-29,1,402.3348560925107,9.055382326280103,567.7094183483233
CP02,PC,2026-03-29,1,1747.6710325547724,903.3132800089741,2038.564235366133
CP02,SP,2026-03-29,1,13202.881778199198,8505.245944004297,22014.916609538035
CP02,TO,2026-03-29,1,1125.3401484976484,782.9811023576689,1168.5560372331934
CP04,BQ,2026-03-29,1,83.45021914653098,28.501492988192854,925.3247934742865
CP04,CH,2026-03-29,1,2487.1322283407826,1806.2999749922008,4883.241892330054
CP04,FI,2026-03-29,1,1793.6861122703272,996.2140409134576,2929.37916423094
CP04,GA,2026-03-29,1,-4904.878696870799,-1059.9372570814132,14495.322966063706
CP04,HT,2026-03-29,1,5689.439720890591,3205.7207850544273,8059.338004891309
CP04,LO,2026-03-29,1,115.89809033897089,76.74244897928915,136.74253581810478
CP04,ME,2026-03-29,1,516.5325013414101,423.6388041413767,659.9107237619692
CP04,PA,2026-03-29,1,-0.6240538894705865,31.735386425391592,314.8969455037341
CP04,PC,2026-03-29,1,1194.3119952569484,1091.2797990848173,2349.5050556102588
CP04,SP,2026-03-29,1,9788.28228263176,7467.882730970022,13377.728153756143
CP04,TO,2026-03-29,1,577.3526271529114,224.41212135722813,600.3862145998638
CP05,BQ,2026-03-29,1,116.97180898562983,30.78359296759621,2678.025427564236
CP05,CH,2026-03-29,1,2099.2707740571586,1489.698220059226,3078.1946740172316
CP05,FI,2026-03-29,1,4648.553341933507,2213.9264142932298,7279.381292034519
CP05,GA,2026-03-29,1,885.0664195013916,207.45662462742683,1342.4875982090405
CP05,HT,2026-03-29,1,17598.811556072964,9712.92618869868,25106.583841126874
CP05,LO,2026-03-29,1,-284.99602741579116,51.62230589784129,-1.9508741743269022
CP05,ME,2026-03-29,1,5125.992741165594,1496.4664923195023,10356.453950372395
CP05,PA,2026-03-29,1,2522.9946886726175,1315.7005896795945,3533.803713596851
CP05,PC,2026-03-29,1,5609.2872000406815,2598.5444905349887,8843.1894237224
CP05,SP,2026-03-29,1,12807.798993329616,-4741.610708130786,27843.928920677317
CP05,TO,2026-03-29,1,1497.4068886689079,588.0675926219496,5432.358804874156
CP06,BQ,2026-03-29,1,5.579160458562224,2.2398718849259147,4.950772231438182
CP06,CH,2026-03-29,1,1982.8266382726467,1582.544808043391,5090.467766980236
CP06,FI,2026-03-29,1,270.97313364962844,-40.252170306205564,-11.263970151571298
CP06,GA,2026-03-29,1,289.2447424029032,-84.88171928634333,7459.201349247555
CP06,HT,2026-03-29,1,77.61538322249277,-112.45962983638658,910.3438188507207
CP06,LO,2026-03-29,1,149.46882958826717,119.05030451389597,206.10788104949145
CP06,ME,2026-03-29,1,8876.189606154858,1567.653778484256,25323.841045078883
CP06,PA,2026-03-29,1,363.66550452963423,139.44977681004485,682.3490736879647
CP06,PC,2026-03-29,1,1735.7092021166418,1409.92102406142,4174.07318468344
CP06,SP,2026-03-29,1,9434.548606409115,6179.217356643667,20337.009120502757
CP06,TO,2026-03-29,1,1193.692969635069,244.23767105928107,2463.2500600486032
CP07,BQ,2026-03-29,1,2065.7601671818156,1469.9446890360434,5192.984486271991
CP07,CH,2026-03-29,1,1848.815564037045,1285.982261349523,2640.6444126823603
CP07,FI,2026-03-29,1,3541.697965396941,1198.5043659937448,6787.353404880842
CP07,GA,2026-03-29,1,851.0331922508022,161.9593780594436,2201.900862730496
CP07,HT,2026-03-29,1,4661.465435777978,2882.136085567737,6601.159275327305
CP07,LO,2026-03-29,1,352.3699701578773,159.31019161593272,740.7787153462434
CP07,ME,2026-03-29,1,16432.801499268455,1989.9660976659948,31261.247593278524
CP07,PA,2026-03-29,1,-52.8957878161926,59.25535999099227,2446.725446447791
CP07,PC,2026-03-29,1,1749.5293626583232,1266.3438114468422,3006.505957463213
CP07,SP,2026-03-29,1,6351.8086219798,4310.925949940659,11937.999347555653
CP07,TO,2026-03-29,1,-18.999400807105037,-0.9670945168645237,751.1541461500693
CP08,BQ,2026-03-29,1,138.62971436433673,115.50461262685968,927.7540775912906
CP08,CH,2026-03-29,1,395.45055161017535,27.31094945928961,764.8126045109258
CP08,FI,2026-03-29,1,-38.9018192069152,14.436209906578839,626.6315164778208
CP08,GA,2026-03-29,1,1745.4107444668891,1507.827735354721,3309.5169251891584
CP08,HT,2026-03-29,1,1819.7076276614512,1377.0486835192228,2013.2234059619386
CP08,LO,2026-03-29,1,-224.12766165927508,-6.330967596178122,4.641426194694513
CP08,ME,2026-03-29,1,26.527259905097345,77.51317422267935,101.01126063670485
CP08,PA,2026-03-29,1,985.4814786094942,441.03987214980583,1136.8896760814177
CP08,PC,2026-03-29,1,1268.3257761911498,1087.9314973449161,3213.319493777332
CP08,SP,2026-03-29,1,5810.481785672919,4478.53841705343,4825.174709830803
CP08,TO,2026-03-29,1,1046.6495031996114,188.02520622827,1418.3691255663
CP10,BQ,2026-03-29,1,-158.36516301582748,7.051117240341451,54.15286204926515
CP10,CH,2026-03-29,1,2712.190367626028,1765.8640003330943,3160.9912309854494
CP10,FI,2026-03-29,1,400.14750139093695,242.06089884521228,594.5702230425384
CP10,GA,2026-03-29,1,2735.4694617912132,333.36883122873263,5287.7351725893395
CP10,HT,2026-03-29,1,-140.8307867138233,-302.97024296653154,2341.717120757791
CP10,LO,2026-03-29,1,296.1882620039784,56.274192750911006,234.3872012844038
CP10,ME,2026-03-29,1,115.02114665846837,81.84667594064571,1071.219754376472
CP10,PA,2026-03-29,1,1713.2425613751107,243.08381770654938,1304.2020129681705
CP10,PC,2026-03-29,1,4035.567643477104,1932.034632564746,3480.8283867542737
CP10,SP,2026-03-29,1,2132.367872634669,182.51162214972788,9901.649652645683
CP10,TO,2026-03-29,1,803.5183019064054,407.7904300251156,1119.2012132694801
CP12,BQ,2026-03-29,1,-6.931119410453088,46.668203397204714,168.7343047807575
