store_code,city,division_code,regime,ADI,CV2,n_weeks,mean_units,pct_zero
CP39 - Joliette,Joliette,CH,erratic,1.0,0.52,83,3.34,0.0
CP39 - Joliette,Joliette,CR,smooth,1.0,0.381,8,1.5,0.0
CP39 - Joliette,Joliette,DI,smooth,1.125,0.293,9,1.22,11.1
CP39 - Joliette,Joliette,FI,erratic,1.0,1.247,69,2.9,0.0
CP39 - Joliette,Joliette,GA,erratic,1.012,1.017,84,6.13,1.2
CP39 - Joliette,Joliette,HT,erratic,1.027,0.715,76,5.61,2.6
CP39 - Joliette,Joliette,IN,erratic,1.027,0.578,76,4.22,2.6
CP39 - Joliette,Joliette,INM,erratic,1.015,0.665,67,3.19,1.5
CP39 - Joliette,Joliette,LI,erratic,1.021,1.826,96,20.96,2.1
CP39 - Joliette,Joliette,LO,erratic,1.01,1.607,102,34.02,1.0
CP39 - Joliette,Joliette,ME,erratic,1.0,1.039,102,28.1,0.0
CP39 - Joliette,Joliette,MK,smooth,1.029,0.352,36,1.67,2.8
CP39 - Joliette,Joliette,PA,erratic,1.018,0.798,56,3.96,1.8
CP39 - Joliette,Joliette,PB,smooth,1.0,0.0,3,1.0,0.0
CP39 - Joliette,Joliette,PC,erratic,1.0,1.337,124,269.63,0.0
CP39 - Joliette,Joliette,PI,erratic,1.025,1.632,124,32.9,2.4
CP39 - Joliette,Joliette,SA,smooth,1.0,0.0,2,1.0,0.0
CP39 - Joliette,Joliette,SE,erratic,1.02,1.345,101,6.79,2.0
CP39 - Joliette,Joliette,SP,smooth,1.029,0.316,70,1.9,2.9
CP39 - Joliette,Joliette,TO,erratic,1.023,0.566,44,4.14,2.3
CP40 - Thetford Mines,Thetford Mines,AM,smooth,1.0,0.25,3,2.0,0.0
CP40 - Thetford Mines,Thetford Mines,AP,erratic,1.015,2.166,69,127.25,1.4
CP40 - Thetford Mines,Thetford Mines,AS,erratic,1.0,0.657,68,19.49,0.0
CP40 - Thetford Mines,Thetford Mines,BQ,smooth,1.045,0.39,23,2.0,4.3
CP40 - Thetford Mines,Thetford Mines,CC,smooth,1.0,0.135,13,1.31,0.0
CP40 - Thetford Mines,Thetford Mines,CH,erratic,1.0,0.541,24,6.12,0.0
CP40 - Thetford Mines,Thetford Mines,CR,smooth,1.0,0.0,1,10.0,0.0
CP40 - Thetford Mines,Thetford Mines,DI,erratic,1.2,39.962,48,13285.62,16.7
CP40 - Thetford Mines,Thetford Mines,FI,smooth,1.0,0.082,4,1.75,0.0
CP40 - Thetford Mines,Thetford Mines,GA,smooth,1.12,0.433,28,2.64,10.7
CP40 - Thetford Mines,Thetford Mines,HT,smooth,1.05,0.464,21,2.57,4.8
CP40 - Thetford Mines,Thetford Mines,IN,erratic,1.038,0.781,55,8.96,3.6
CP40 - Thetford Mines,Thetford Mines,LI,smooth,1.069,0.408,31,3.19,6.5
CP40 - Thetford Mines,Thetford Mines,LO,erratic,1.0,1.23,58,10.24,0.0
CP40 - Thetford Mines,Thetford Mines,ME,erratic,1.023,1.173,45,16.82,2.2
CP40 - Thetford Mines,Thetford Mines,MK,erratic,1.0,1.583,30,10.73,0.0
CP40 - Thetford Mines,Thetford Mines,PA,erratic,1.045,0.55,23,3.35,4.3
CP40 - Thetford Mines,Thetford Mines,PC,erratic,1.0,1.461,69,210.46,0.0
CP40 - Thetford Mines,Thetford Mines,PI,erratic,1.063,2.218,67,98.18,6.0
CP40 - Thetford Mines,Thetford Mines,SP,smooth,1.0,0.346,29,1.66,0.0
CP40 - Thetford Mines,Thetford Mines,TO,erratic,1.0,0.865,24,4.88,0.0
CP43 - Ste-Foy,Ste-Foy,AM,erratic,1.0,0.535,22,1.95,0.0
CP43 - Ste-Foy,Ste-Foy,AP,erratic,1.0,2.107,81,431.63,0.0
CP43 - Ste-Foy,Ste-Foy,AS,erratic,1.0,0.559,79,29.48,0.0
CP43 - Ste-Foy,Ste-Foy,AZ,erratic,1.0,2.638,46,43.04,0.0
CP43 - Ste-Foy,Ste-Foy,BQ,erratic,1.0,0.85,48,5.23,0.0
CP43 - Ste-Foy,Ste-Foy,CC,erratic,1.034,0.958,30,2.03,3.3
CP43 - Ste-Foy,Ste-Foy,CH,erratic,1.0,0.817,52,5.13,0.0
CP43 - Ste-Foy,Ste-Foy,FI,erratic,1.0,1.109,50,3.32,0.0
CP43 - Ste-Foy,Ste-Foy,GA,erratic,1.0,0.809,58,6.55,0.0
CP43 - Ste-Foy,Ste-Foy,HT,lumpy,18.333,0.55,55,0.24,94.5
CP43 - Ste-Foy,Ste-Foy,IN,smooth,1.043,0.179,24,1.5,4.2
CP43 - Ste-Foy,Ste-Foy,LO,erratic,1.032,1.444,65,38.69,3.1
CP43 - Ste-Foy,Ste-Foy,ME,erratic,1.042,1.695,75,42.53,4.0
CP43 - Ste-Foy,Ste-Foy,PA,erratic,1.0,0.695,33,7.82,0.0
CP43 - Ste-Foy,Ste-Foy,PC,erratic,1.0,1.925,74,496.91,0.0
CP43 - Ste-Foy,Ste-Foy,PI,erratic,1.0,2.85,78,72.92,0.0
CP43 - Ste-Foy,Ste-Foy,SA,smooth,1.0,0.0,2,1.0,0.0
CP43 - Ste-Foy,Ste-Foy,SP,smooth,1.0,0.329,44,1.93,0.0
CP43 - Ste-Foy,Ste-Foy,TO,erratic,1.0,0.612,55,4.69,0.0
CP44 - St-Constant,St-Constant,AM,smooth,1.0,0.278,26,1.54,0.0
CP44 - St-Constant,St-Constant,AP,erratic,1.0,1.881,120,309.8,0.0
CP44 - St-Constant,St-Constant,AS,erratic,1.0,1.222,122,157.76,0.0
CP44 - St-Constant,St-Constant,AZ,erratic,1.023,4.631,89,45.81,2.2
CP44 - St-Constant,St-Constant,BQ,erratic,1.014,0.842,74,7.88,1.4
CP44 - St-Constant,St-Constant,CA,smooth,1.0,0.0,1,1.0,0.0
CP44 - St-Constant,St-Constant,CC,smooth,1.03,0.439,34,1.59,2.9
CP44 - St-Constant,St-Constant,CH,erratic,1.0,0.494,86,3.87,0.0
CP44 - St-Constant,St-Constant,CR,erratic,1.042,0.502,25,2.16,4.0
CP44 - St-Constant,St-Constant,DI,erratic,1.0,1.076,14,5.29,0.0
CP44 - St-Constant,St-Constant,FI,erratic,1.011,0.638,94,3.26,1.1
CP44 - St-Constant,St-Constant,GA,erratic,1.024,0.959,86,5.48,2.3
CP44 - St-Constant,St-Constant,HT,erratic,1.027,0.736,76,5.14,2.6
CP44 - St-Constant,St-Constant,IN,erratic,1.0,0.572,81,5.46,0.0
CP44 - St-Constant,St-Constant,INM,erratic,1.013,18.968,79,23.03,1.3
CP44 - St-Constant,St-Constant,LI,erratic,1.0,2.533,92,16.58,0.0
CP44 - St-Constant,St-Constant,LO,erratic,1.0,1.458,119,45.53,0.0
CP44 - St-Constant,St-Constant,ME,erratic,1.02,1.374,104,30.18,1.9
CP44 - St-Constant,St-Constant,MK,erratic,1.032,3.0,65,3.02,3.1
CP44 - St-Constant,St-Constant,PA,erratic,1.0,0.541,49,6.02,0.0
CP44 - St-Constant,St-Constant,PB,smooth,1.0,0.0,3,2.0,0.0
CP44 - St-Constant,St-Constant,PC,erratic,1.0,1.391,122,349.53,0.0
CP44 - St-Constant,St-Constant,PI,erratic,1.0,2.014,117,50.95,0.0
CP44 - St-Constant,St-Constant,SA,smooth,1.0,0.0,1,2.0,0.0
CP44 - St-Constant,St-Constant,SE,erratic,1.0,0.675,106,7.94,0.0
CP44 - St-Constant,St-Constant,SP,smooth,1.019,0.426,55,1.73,1.8
CP44 - St-Constant,St-Constant,TO,erratic,1.0,0.964,47,4.89,0.0
CP45 - Cowansville,Cowansville,AP,erratic,1.0,1.356,124,437.14,0.0
CP45 - Cowansville,Cowansville,AS,smooth,1.0,0.262,123,10.84,0.0
CP45 - Cowansville,Cowansville,BQ,erratic,1.0,0.903,102,9.49,0.0
CP45 - Cowansville,Cowansville,CA,smooth,1.0,0.0,1,1.0,0.0
CP45 - Cowansville,Cowansville,CH,smooth,1.016,0.416,65,2.4,1.5
CP45 - Cowansville,Cowansville,CR,erratic,1.0,1.539,16,7.38,0.0
CP45 - Cowansville,Cowansville,FI,erratic,1.035,0.721,59,2.81,3.4
CP45 - Cowansville,Cowansville,GA,erratic,1.038,1.108,55,3.33,3.6
CP45 - Cowansville,Cowansville,HT,smooth,1.0,0.423,68,2.72,0.0
CP45 - Cowansville,Cowansville,IN,erratic,1.029,4.109,106,59.57,2.8
CP45 - Cowansville,Cowansville,LI,erratic,1.01,6.998,106,14.15,0.9
CP45 - Cowansville,Cowansville,LO,erratic,1.009,2.11,116,28.34,0.9
CP45 - Cowansville,Cowansville,ME,erratic,1.018,1.415,115,32.24,1.7
CP45 - Cowansville,Cowansville,MK,erratic,1.083,2.533,13,9.08,7.7
CP45 - Cowansville,Cowansville,PA,erratic,1.0,0.751,49,5.22,0.0
CP45 - Cowansville,Cowansville,PB,smooth,1.0,0.0,1,1.0,0.0
CP45 - Cowansville,Cowansville,PC,erratic,1.0,1.312,124,397.74,0.0
CP45 - Cowansville,Cowansville,PI,erratic,1.0,0.49,124,21.08,0.0
CP45 - Cowansville,Cowansville,SE,erratic,1.043,3.337,98,360.28,4.1
CP45 - Cowansville,Cowansville,SP,smooth,1.0,0.306,71,2.3,0.0
CP45 - Cowansville,Cowansville,TO,smooth,1.014,0.429,73,2.84,1.4
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,AM,smooth,1.043,0.363,24,1.33,4.2
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,AP,erratic,1.018,1.579,111,182.11,1.8
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,AS,smooth,1.0,0.183,111,55.71,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,AZ,erratic,1.024,1.498,42,25.45,2.4
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,BQ,erratic,1.0,0.695,83,6.23,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,CA,smooth,1.0,0.222,2,1.5,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,CC,intermittent,20.0,0.0,20,0.05,95.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,CH,smooth,1.034,0.389,61,1.98,3.3
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,CM,smooth,1.0,0.0,1,8.0,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,CR,smooth,1.0,0.204,13,1.46,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,DI,erratic,1.3,6.37,52,5.5,23.1
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,FI,erratic,1.017,0.929,59,3.97,1.7
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,GA,erratic,1.014,0.708,73,3.45,1.4
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,HT,erratic,1.0,1.021,48,3.27,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,INM,erratic,1.038,0.674,54,3.46,3.7
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,LI,smooth,1.011,0.367,93,3.17,1.1
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,LO,erratic,1.0,1.392,92,17.43,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,ME,erratic,1.0,1.152,102,38.48,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,MK,smooth,1.033,0.39,31,2.13,3.2
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,PA,erratic,1.039,0.897,53,6.32,3.8
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,PC,erratic,1.0,0.637,111,214.99,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,PI,erratic,1.009,0.591,111,27.78,0.9
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,SA,smooth,1.0,0.0,4,1.0,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,SE,smooth,1.0,0.37,110,13.47,0.0
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,SP,smooth,1.03,0.38,69,2.2,2.9
CP46 - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,TO,smooth,1.031,0.36,33,1.88,3.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,AB,erratic,1.062,6.36,17,19.22,5.9
CP47 - Riviere-du-Loup,Riviere-du-Loup,AM,erratic,1.167,3.375,14,10.11,14.3
CP47 - Riviere-du-Loup,Riviere-du-Loup,AP,erratic,1.0,3.159,73,207.35,0.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,AS,erratic,1.015,0.87,68,7.35,1.5
CP47 - Riviere-du-Loup,Riviere-du-Loup,AZ,erratic,1.125,7.09,18,8.06,11.1
CP47 - Riviere-du-Loup,Riviere-du-Loup,BI,erratic,1.0,0.555,28,2.75,0.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,BQ,erratic,1.0,1.011,69,16.8,0.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,CC,lumpy,4.125,3.891,33,2.12,75.8
CP47 - Riviere-du-Loup,Riviere-du-Loup,CH,erratic,1.049,0.953,43,3.6,4.7
CP47 - Riviere-du-Loup,Riviere-du-Loup,CR,smooth,1.0,0.222,2,1.5,0.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,DI,erratic,1.179,1.524,79,41.01,15.2
CP47 - Riviere-du-Loup,Riviere-du-Loup,FI,erratic,1.0,1.124,39,3.88,0.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,GA,erratic,1.082,5.338,53,15.62,7.5
CP47 - Riviere-du-Loup,Riviere-du-Loup,HT,lumpy,1.438,0.535,23,4.13,30.4
CP47 - Riviere-du-Loup,Riviere-du-Loup,IN,erratic,1.238,0.927,26,4.15,19.2
CP47 - Riviere-du-Loup,Riviere-du-Loup,LI,erratic,1.061,1.031,70,139.6,5.7
CP47 - Riviere-du-Loup,Riviere-du-Loup,LO,erratic,1.018,1.163,56,12.86,1.8
CP47 - Riviere-du-Loup,Riviere-du-Loup,ME,erratic,1.017,1.423,60,15.63,1.7
CP47 - Riviere-du-Loup,Riviere-du-Loup,NO,smooth,1.0,0.0,2,1.0,0.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,PA,erratic,1.0,0.569,21,3.81,0.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,PC,erratic,1.0,0.931,72,316.55,0.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,PI,erratic,1.0,2.151,74,144.21,0.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,SA,intermittent,2.0,0.0,4,0.5,50.0
CP47 - Riviere-du-Loup,Riviere-du-Loup,SE,erratic,1.015,3.72,66,80.48,1.5
CP47 - Riviere-du-Loup,Riviere-du-Loup,SP,erratic,1.259,0.569,34,2.03,20.6
CP47 - Riviere-du-Loup,Riviere-du-Loup,TO,erratic,1.286,0.793,27,5.78,22.2
CP48 - Beloeil,Beloeil,AM,erratic,1.0,0.698,25,3.56,0.0
CP48 - Beloeil,Beloeil,AP,erratic,1.0,1.91,122,455.48,0.0
CP48 - Beloeil,Beloeil,AS,erratic,1.0,1.405,122,264.37,0.0
CP48 - Beloeil,Beloeil,AZ,erratic,1.0,4.384,94,68.46,0.0
CP48 - Beloeil,Beloeil,BQ,erratic,1.023,1.022,90,8.06,2.2
CP48 - Beloeil,Beloeil,CA,smooth,1.0,0.0,1,1.0,0.0
CP48 - Beloeil,Beloeil,CC,smooth,1.0,0.47,31,2.26,0.0
CP48 - Beloeil,Beloeil,CH,erratic,1.011,0.596,95,5.15,1.1
CP48 - Beloeil,Beloeil,CR,erratic,1.053,1.08,40,3.78,5.0
CP48 - Beloeil,Beloeil,DI,erratic,1.133,2.925,17,2.88,11.8
CP48 - Beloeil,Beloeil,FI,erratic,1.011,0.584,92,2.86,1.1
CP48 - Beloeil,Beloeil,GA,erratic,1.075,0.563,86,4.35,7.0
CP48 - Beloeil,Beloeil,HT,erratic,1.012,0.651,85,6.07,1.2
CP48 - Beloeil,Beloeil,IN,erratic,1.011,0.522,91,6.33,1.1
CP48 - Beloeil,Beloeil,INM,erratic,1.011,5.893,89,139.13,1.1
CP48 - Beloeil,Beloeil,LI,erratic,1.0,0.855,108,19.65,0.0
CP48 - Beloeil,Beloeil,LO,erratic,1.008,1.929,119,57.1,0.8
CP48 - Beloeil,Beloeil,ME,erratic,1.0,1.208,112,52.18,0.0
CP48 - Beloeil,Beloeil,MK,smooth,1.0,0.289,32,1.56,0.0
CP48 - Beloeil,Beloeil,PA,erratic,1.021,0.606,48,5.5,2.1
CP48 - Beloeil,Beloeil,PB,smooth,1.0,0.0,4,1.0,0.0
CP48 - Beloeil,Beloeil,PC,erratic,1.0,1.613,122,600.9,0.0
CP48 - Beloeil,Beloeil,PI,erratic,1.009,1.863,117,59.44,0.9
CP48 - Beloeil,Beloeil,SA,smooth,1.0,0.0,4,1.0,0.0
CP48 - Beloeil,Beloeil,SE,erratic,1.0,0.927,98,9.03,0.0
CP48 - Beloeil,Beloeil,SP,smooth,1.0,0.335,63,1.92,0.0
CP48 - Beloeil,Beloeil,TO,erratic,1.038,0.88,55,5.82,3.6
