store_code,division_code,actual_units,pred_units,units_wmape,n_weeks
CP202,PC,5227.0,5231.956864738998,0.1151576314266189,26
CP202,SP,29.0,27.11055915348678,0.15324440690620042,7
CP202,TO,4.0,4.340180075601468,0.08504501890036709,2
CP28,BQ,2.0,2.1446671805172217,0.07233359025861075,2
CP28,CH,28.0,34.19164713443096,0.27458812884360295,10
CP28,FI,16.0,21.63410814426926,0.36038220226057455,11
CP28,GA,6.0,6.599482076875286,0.09991367947921422,5
CP28,HT,0.0,0.000475933593587544,,2
CP28,LO,213.0,253.687764014779,0.38674761828554977,25
CP28,ME,65.0,81.09885819713377,0.2476747414943655,12
CP28,PA,9.0,8.79345654983588,0.175824711657669,5
CP28,PC,4002.0,3923.1190392887283,0.1756761791076369,26
CP28,SP,2.0,1.8898954265407633,0.05505228672961843,2
CP28,TO,448.0,1.6876392022084736,0.9962402196917529,4
CP32,BQ,21.0,24.194037170538348,0.2296593443557013,12
CP32,FI,67.0,68.5064531357783,0.33312512263953376,20
CP32,GA,46.0,14.507023322682253,0.7789944594968855,9
CP32,HT,1.0,1.7195100383920705,0.7195100383920705,1
CP32,LO,198.0,203.82378418064977,0.2486536051349393,25
CP32,ME,215.0,201.7864202572996,0.45920719670334353,20
CP32,PA,3.0,4.810347464465632,0.6034491548218774,2
CP32,PC,5097.0,4593.667291830534,0.16123010538585075,26
CP32,SP,10.0,9.928532326197512,0.1661433174138187,8
CP32,TO,4.0,4.362266492523511,0.17434878473350765,4
CP33,BQ,7.0,7.9578772332579515,0.13683960475113582,7
CP33,CH,10.0,13.715123982714385,0.37151239827143845,6
CP33,FI,28.0,28.24340294441479,0.2850214534147782,16
CP33,GA,22.0,23.61230963488792,0.07328680158581474,7
CP33,LO,108.0,123.87928348953753,0.6791911871530474,23
CP33,ME,66.0,76.9798429448554,0.5631421203454248,20
CP33,PC,2406.0,2519.729096605779,0.24384854719920224,26
CP33,SP,4.0,3.8888211943746978,0.02779470140632556,3
CP33,TO,1.0,0.9660634467034043,0.03393655329659573,1
CP35,BQ,40.0,49.10998832364672,0.30732802645301593,19
CP35,CH,43.0,40.24100849951562,0.30021314378658936,10
CP35,FI,59.0,66.43719737461234,0.14181456689780647,22
CP35,GA,12.0,12.594537236004173,0.1071120985212473,8
CP35,HT,5.0,4.820882426316843,0.03582351473663135,1
CP35,LO,487.0,531.1955999556811,0.26379251143598187,25
CP35,ME,137.0,155.71108147279563,0.30387469716811705,21
CP35,PA,7.0,8.316809792390144,0.1881156846271633,4
CP35,PC,8208.0,7949.533007847574,0.14319170763288086,25
CP35,SP,18.0,21.32998017117048,0.22950274997795375,11
CP35,TO,7.0,8.541666611609843,0.22023808737283468,3
CP36,BQ,156.0,118.97822865275646,0.45051576669938115,22
CP36,CH,88.0,65.00806217881836,0.4643023485086886,10
CP36,FI,67.0,65.93902088898434,0.35565082861465647,17
CP36,GA,187.0,152.26013043625198,0.4999707517278533,15
CP36,HT,4.0,3.9484830398039525,0.11835480463690408,4
CP36,LO,578.0,559.5525804031417,0.2716902186057318,26
CP36,ME,2184.0,2004.4485988698805,0.7193816546522819,25
CP36,PA,50.0,30.516379875869532,0.6229181613664907,12
CP36,PC,3031.0,3462.007060413593,0.28731259726235386,26
CP36,SP,68.0,37.40319123299121,0.46884953828745957,9
CP36,TO,6.0,6.086635710288451,0.02572853183697567,4
CP37,BQ,34.0,26.62157915132766,0.31018918351582103,12
CP37,CH,4.0,4.504300645583705,0.1260751613959264,3
CP37,FI,72.0,61.203252469109465,0.264039377864339,21
CP37,GA,21.0,22.393221144303954,0.20469745740713846,9
CP37,HT,11.0,10.778388189376285,0.0380869166684942,5
CP37,LO,588.0,483.3886104430769,0.37337709378637246,26
CP37,ME,488.0,437.6146319089355,0.5123286243221267,25
CP37,PA,33.0,27.57408657872694,0.24373991100900694,8
CP37,PC,9426.0,8830.229820604161,0.1189417850111267,26
CP37,SP,24.0,31.378314111769434,0.31280313495576395,11
CP37,TO,22.0,23.58105345751845,0.17182288868790607,10
CP39,BQ,5.0,5.47421159182123,0.09572496376225623,4
CP39,CH,14.0,18.673042390656605,0.33378874218975746,7
CP39,FI,30.0,37.94885206492568,0.40064938947494527,12
CP39,GA,14.0,15.525511479693645,0.18032225918809308,10
CP39,HT,1.0,0.8507453549059875,0.15020884100519463,3
CP39,LO,80.0,87.42395487272121,0.5099147972497938,18
CP39,ME,83.0,95.4689866015214,0.28731120536328736,19
CP39,PC,2458.0,2795.773295938061,0.20744379739282678,26
CP39,SP,10.0,9.844961908019629,0.07948571711693313,7
CP39,TO,2.0,1.977252816285319,0.045806911606193046,3
CP40,BQ,4.0,4.017927883314782,0.04173471551736657,3
CP40,CH,6.0,6.5612205884573225,0.215351456433818,3
CP40,GA,11.0,9.369607670289545,0.15971757180130697,5
CP40,HT,1.0,1.5793569714460227,0.5793569714460227,1
CP40,LO,57.0,79.89128853188197,0.5691374027241901,17
CP40,ME,59.0,66.32490837753471,0.2915399596784978,12
CP40,PA,4.0,4.2328653135473795,0.13060590579838222,3
CP40,PC,2366.0,2394.461449453295,0.12982902144921443,24
CP40,SP,11.0,15.725936965394366,0.42963063321766964,5
CP40,TO,4.0,3.628655824137984,0.0928360439655041,3
CP44,BQ,18.0,20.677102884182638,0.2320809927661721,9
CP44,CH,21.0,25.077918146992978,0.40303549223499435,8
CP44,FI,31.0,37.995177978409856,0.31281031198889053,15
CP44,GA,45.0,39.21813074964942,0.3669451623754412,7
CP44,LO,270.0,272.0847798140688,0.3150652919556309,23
CP44,ME,80.0,86.08758826106053,0.3455082417741887,15
CP44,PA,8.0,9.026968528333045,0.1283710660416306,5
CP44,PC,3289.0,3445.5629764338005,0.18072954238018107,25
CP44,SP,5.0,4.879265729883837,0.03788921377287076,4
CP44,TO,5.0,4.896392070802101,0.03568977338381647,4
CP45,BQ,44.0,47.33991338483148,0.17675982223473224,19
CP45,FI,16.0,16.82771463187927,0.28494550961335496,10
CP45,GA,6.0,6.2893561993377025,0.05852118702581562,4
CP45,HT,1.0,1.8858848330586662,0.8858848330586662,1
CP45,LO,70.0,97.93961701178688,0.4548734661725126,23
CP45,ME,124.0,131.9655226195113,0.36320728400634006,22
CP45,PA,4.0,4.663023358370078,0.16575583959251955,4
CP45,PC,3786.0,3804.140127251283,0.13882060142524388,26
CP45,SP,13.0,12.690199087117527,0.09618345592201545,8
CP45,TO,2.0,1.923225493512736,0.03838725324363207,2
CP46,BQ,41.0,41.59959659825824,0.21357930859320154,17
CP46,CH,8.0,10.270696185036051,0.2838370231295064,6
CP46,FI,29.0,28.292354751706768,0.23420845106939173,12
CP46,GA,20.0,19.87368752444541,0.17237349196300988,9
CP46,LO,70.0,106.42434966841897,0.6431057346670422,18
CP46,ME,105.0,127.6816411438479,0.4433317301304749,23
CP46,PA,4.0,7.144470937239448,0.7861177343098621,3
CP46,PC,2759.0,2723.1619979975376,0.10052837180688991,26
CP46,SP,15.0,14.930364631183481,0.07640782317556047,9
CP47,BQ,117.0,120.77673740829697,0.32369678803474106,25
CP47,CH,25.0,36.43113061681219,0.5314206470396963,13
CP47,FI,34.0,30.901864211291937,0.31033397448832956,13
CP47,GA,48.0,39.450484971067844,0.2807691583160941,15
CP47,HT,7.0,6.479769296597622,0.2300357954911891,5
CP47,LO,137.0,91.7807247499335,0.6683553483939096,19
CP47,ME,68.0,99.16945238734215,0.4710203267285794,17
CP47,PA,1.0,1.1684392482444799,0.16843924824447987,1
CP47,PC,4017.5,3732.037999035112,0.21508585429025281,26
CP47,SP,13.0,16.64634390806075,0.43145689918963925,11
CP47,TO,11.0,13.430973881550074,0.22382706812040995,6
CP48,BQ,24.0,25.197932110894534,0.25890450742895044,12
CP48,CH,53.0,53.73667779616978,0.25140258994875575,11
CP48,FI,47.0,53.13743812415648,0.2724912143729558,18
CP48,GA,9.0,13.389705110857404,0.48774501231748935,5
CP48,LO,283.0,359.3650982166623,0.3703495554255508,25
CP48,ME,123.0,146.46243342198824,0.30155660339247475,19
CP48,PA,6.0,8.950119052823478,0.5178926823438541,4
CP48,PC,5098.0,5057.084066168653,0.11123600242953754,25
CP48,SP,7.0,7.161000626289617,0.0952646763446821,5
CP48,TO,4.0,4.092969996502811,0.023242499125702604,3
