store_code,division_code,n_weeks,avg_units,avg_revenue,std_units,total_units,total_revenue,pct_zero,max_units,cv,asp,demand_class,adi,cv2,tier
CP02,BQ,74,5.405405405405405,1775.8221621621622,5.012092005515381,400.0,131410.84,4.054054054054054,20.0,0.9272370210203456,328.5271,Erratic,1.0422535211267605,0.8597684931506847,Tier 2
CP02,CH,76,6.828947368421052,13889.738552631577,5.60568320640101,519.0,1055620.13,0.0,26.0,0.8208707585481249,2033.9501541425816,Erratic,1.0,0.6738288022393739,Tier 2
CP02,FI,87,4.689655172413793,2038.9303448275862,6.515295679145196,408.0,177386.94,3.4482758620689653,50.0,1.3892909904059612,434.77191176470586,Erratic,1.0357142857142858,1.9301294560231765,Tier 2
CP02,GA,97,9.608247422680412,13230.622783505154,8.410752915453585,932.0,1283370.41,1.0309278350515463,48.0,0.8753680609431307,1377.0068776824035,Erratic,1.0104166666666667,0.7662692421193366,Tier 2
CP02,HT,84,5.642857142857143,16464.184761904762,4.614390422070693,474.0,1382991.52,0.0,19.0,0.817740074797338,2917.7036286919833,Erratic,1.0,0.668698829929556,Tier 2
CP02,LO,117,69.57264957264957,950.3386324786325,94.32978798172859,8140.0,111189.62,0.0,367.0,1.3558458469118237,13.659658476658477,Erratic,1.0,1.8383179605880406,Tier 1
CP02,ME,109,87.63302752293578,18106.311743119266,99.8440135773333,9552.0,1973587.98,1.834862385321101,392.0,1.1393422822371577,206.61515703517588,Erratic,1.0186915887850467,1.2981008360933752,Tier 1
CP02,PA,71,12.112676056338028,2988.6021126760565,10.949950157452966,860.0,212190.75,4.225352112676056,41.0,0.9040075129990239,246.73343023255813,Erratic,1.0441176470588236,0.8172295835586805,Tier 2
CP02,PC,117,620.1538461538462,15750.53641025641,709.5111553566984,72558.0,1842812.76,0.0,3537.0,1.1440889381837112,25.397788803440008,Erratic,1.0,1.3089394984743317,Tier 1
CP02,SP,88,2.125,20117.40659090909,1.2206320201992213,187.0,1770331.78,2.272727272727273,7.0,0.5744150683290453,9467.01486631016,Smooth,1.0232558139534884,0.3299526707234618,Tier 2
CP02,TO,90,8.488888888888889,5796.749777777777,8.085559946623176,764.0,521707.48,1.1111111111111112,38.0,0.9524874282671281,682.8631937172775,Erratic,1.0112359550561798,0.9072323010069274,Tier 2
CP04,BQ,65,4.707692307692308,927.7358461538462,4.421973106413714,306.0,60302.83,0.0,20.0,0.9393080128002986,197.06807189542485,Erratic,1.0,0.882299542910846,Tier 2
CP04,CH,98,5.76530612244898,8856.858877551022,4.335899103916462,565.0,867972.17,0.0,22.0,0.7520674551925898,1536.23392920354,Erratic,1.0,0.565605457159858,Tier 2
CP04,FI,115,5.208695652173913,1316.2522608695654,6.379099166691932,599.0,151369.01,2.608695652173913,60.0,1.2247018433548786,252.70285475792988,Erratic,1.0267857142857142,1.4998946051168376,Tier 2
CP04,GA,90,7.777777777777778,10404.360666666666,7.685938975010827,700.0,936392.46,0.0,43.0,0.9881921539299635,1337.7035142857142,Erratic,1.0,0.9765237330887407,Tier 2
CP04,HT,91,9.780219780219781,15307.801978021978,8.749351973212644,890.0,1393009.98,0.0,39.0,0.8945966624296073,1565.1797528089887,Erratic,1.0,0.8003031884301928,Tier 2
CP04,LO,125,85.536,987.15208,110.92125541674059,10692.0,123394.01,0.0,552.0,1.2967786127097432,11.540779087167975,Erratic,1.0,1.681634770381406,Tier 1
CP04,ME,117,45.76068376068376,9501.697350427352,54.97172463979339,5354.0,1111698.59,0.8547008547008548,206.0,1.2012872213029187,207.63888494583492,Erratic,1.0086206896551724,1.4430909880656875,Tier 1
CP04,PA,67,7.029850746268656,1001.1661194029851,6.105065331727296,471.0,67078.13,1.4925373134328357,25.0,0.8684487839187449,142.41641188959662,Erratic,1.0151515151515151,0.7542032902899469,Tier 2
CP04,PC,125,532.76,11332.62672,626.9186858833268,66595.0,1416578.34,0.0,3380.0,1.1767375288747781,21.271542007658233,Erratic,1.0,1.3847112118623193,Tier 1
CP04,SP,82,2.8902439024390243,24165.89024390244,1.9876538534190864,237.0,1981603.0,0.0,9.0,0.687711459832764,8361.194092827005,Smooth,1.0,0.47294705198531145,Tier 2
CP04,TO,51,8.03921568627451,1561.8319607843139,7.8611978331898635,410.0,79653.43000000001,3.9215686274509802,30.0,0.9778563158358123,194.2766585365854,Erratic,1.0408163265306123,0.956202974419988,Tier 2
