store_code,city,division_code,n_weeks,n_nonzero,avg_units,avg_revenue,median_units,std_units,total_units,cv,zero_rate,tier,prophet_eligible
CP02,Blainville,BQ,74,71,5.405405405405405,1775.8221621621622,4.0,5.012092005515381,400.0,0.9272370210203456,0.04054054054054057,naive,False
CP02,Blainville,CH,76,76,6.828947368421052,13889.738552631577,6.0,5.60568320640101,519.0,0.8208707585481249,0.0,naive,False
CP02,Blainville,FI,87,84,4.689655172413793,2038.9303448275862,3.0,6.515295679145196,408.0,1.3892909904059612,0.03448275862068961,naive,False
CP02,Blainville,GA,97,96,9.608247422680412,13230.622783505154,7.0,8.410752915453585,932.0,0.8753680609431307,0.010309278350515427,naive,False
CP02,Blainville,HT,84,84,5.642857142857143,16464.184761904762,4.0,4.614390422070693,474.0,0.817740074797338,0.0,naive,False
CP02,Blainville,LO,117,117,69.57264957264957,950.3386324786325,21.0,94.32978798172859,8140.0,1.3558458469118237,0.0,naive,False
CP02,Blainville,ME,109,107,87.63302752293578,18106.311743119266,44.0,99.8440135773333,9552.0,1.1393422822371577,0.01834862385321101,xgboost,False
CP02,Blainville,PA,71,68,12.112676056338028,2988.6021126760565,8.0,10.949950157452966,860.0,0.9040075129990239,0.04225352112676062,naive,False
CP02,Blainville,PC,117,117,620.1538461538462,15750.53641025641,372.0,709.5111553566984,72558.0,1.1440889381837112,0.0,xgboost,False
CP02,Blainville,SP,88,86,2.125,20117.40659090909,2.0,1.2206320201992213,187.0,0.5744150683290453,0.022727272727272707,naive,False
CP02,Blainville,TO,90,89,8.488888888888889,5796.749777777777,5.0,8.085559946623176,764.0,0.9524874282671281,0.011111111111111072,naive,False
CP04,Drummondville,BQ,65,65,4.707692307692308,927.7358461538462,4.0,4.421973106413714,306.0,0.9393080128002986,0.0,naive,False
CP04,Drummondville,CH,98,98,5.76530612244898,8856.858877551022,5.0,4.335899103916462,565.0,0.7520674551925898,0.0,naive,False
CP04,Drummondville,FI,115,112,5.208695652173913,1316.2522608695654,4.0,6.379099166691932,599.0,1.2247018433548786,0.02608695652173909,naive,False
CP04,Drummondville,GA,90,90,7.777777777777778,10404.360666666666,6.0,7.685938975010827,700.0,0.9881921539299635,0.0,naive,False
CP04,Drummondville,HT,91,91,9.780219780219781,15307.801978021978,8.0,8.749351973212644,890.0,0.8945966624296073,0.0,naive,False
CP04,Drummondville,LO,125,125,85.536,987.15208,33.0,110.92125541674059,10692.0,1.2967786127097432,0.0,xgboost,False
CP04,Drummondville,ME,117,116,45.76068376068376,9501.697350427352,16.0,54.97172463979339,5354.0,1.2012872213029187,0.008547008547008517,naive,False
CP04,Drummondville,PA,67,66,7.029850746268656,1001.1661194029851,5.0,6.105065331727296,471.0,0.8684487839187449,0.014925373134328401,naive,False
CP04,Drummondville,PC,125,125,532.76,11332.62672,190.0,626.9186858833268,66595.0,1.1767375288747781,0.0,xgboost,False
CP04,Drummondville,SP,82,82,2.8902439024390243,24165.89024390244,2.0,1.9876538534190864,237.0,0.687711459832764,0.0,naive,False
CP04,Drummondville,TO,51,49,8.03921568627451,1561.8319607843139,5.0,7.8611978331898635,410.0,0.9778563158358123,0.039215686274509776,naive,False
CP05,Sherbrooke,BQ,60,60,13.55,4820.734166666666,6.0,14.997655183959559,813.0,1.106838020956425,0.0,naive,False
CP05,Sherbrooke,CH,42,39,11.0,13829.263809523809,5.0,11.292129786800679,462.0,1.0265572533455163,0.0714285714285714,naive,False
CP05,Sherbrooke,FI,72,71,6.055555555555555,3254.231388888889,4.0,7.479340350684488,436.0,1.235120424883677,0.01388888888888884,naive,False
CP05,Sherbrooke,GA,58,57,12.637931034482758,16782.178620689654,8.5,13.231671568112187,733.0,1.046980833493188,0.017241379310344862,naive,False
CP05,Sherbrooke,HT,31,24,9.419354838709678,75091.48096774194,10.0,8.815797160205792,292.0,0.9359236711177381,0.22580645161290325,naive,False
CP05,Sherbrooke,LO,77,77,62.675324675324674,1154.993896103896,20.0,87.18966645049437,4826.0,1.391132266201423,0.0,naive,False
CP05,Sherbrooke,ME,76,76,104.8157894736842,33061.25171052632,27.5,144.3592472988889,7966.0,1.3772662308204315,0.0,xgboost,False
CP05,Sherbrooke,PA,45,42,15.177777777777777,4892.645333333334,9.0,16.00751086335424,683.0,1.0546676264289032,0.06666666666666665,naive,False
CP05,Sherbrooke,PC,77,77,1069.6623376623377,22169.0487012987,414.0,1515.8807289770314,82364.0,1.4171581774954034,0.0,xgboost,False
CP05,Sherbrooke,SP,60,57,6.866666666666666,69284.03133333333,5.0,6.850625770418909,412.0,0.9976639471483849,0.050000000000000044,naive,False
CP05,Sherbrooke,TO,50,46,15.5,6773.77,6.0,19.192100841072026,775.0,1.2382000542627114,0.07999999999999996,naive,False
CP06,Granby,BQ,105,104,19.047619047619047,5584.993619047618,9.0,20.888615298392782,2000.0,1.096652303165621,0.00952380952380949,naive,False
CP06,Granby,CH,93,91,6.032258064516129,13690.1788172043,5.0,4.753606440750894,561.0,0.7880310142421268,0.021505376344086002,naive,False
CP06,Granby,FI,116,114,9.051724137931034,3610.267931034483,5.0,18.079940759611592,1050.0,1.9974029791570904,0.017241379310344862,naive,False
CP06,Granby,GA,103,102,30.25242718446602,25728.94776699029,15.0,50.25068889325894,3116.0,1.6610465198991242,0.009708737864077666,naive,False
