fold,train_rows,test_rows,test_period,season,mae,wmape,r2
1,9318,656,2024-12-01 to 2024-12-22,Winter,1329.053140878274,0.3592970484611595,0.5704985745234901
2,10839,755,2025-02-09 to 2025-03-02,Winter,1102.9828799844627,0.2599641763196833,0.9019574513841826
3,13263,1059,2025-04-27 to 2025-05-18,Spring,4057.2863887097183,0.1824775966675547,0.9327891222427311
4,16199,1067,2025-07-13 to 2025-08-03,Summer,2764.278532777449,0.19014423973307645,0.9140716824135879
5,19020,845,2025-09-28 to 2025-10-19,Fall,1710.6997769534803,0.2767347323576539,0.8535125704382718
6,20956,410,2025-12-14 to 2026-01-04,Winter,825.2656711827011,0.44621302092780457,0.6612580375752017
