store_code,division_code,actual_revenue,pred_revenue,revenue_wmape,n_weeks
CP02,BQ,4251.679999999999,5263.153717667974,0.4198649812093202,8
CP02,CH,2599.99,4830.5677134085145,0.8579178048409859,1
CP02,FI,25733.570000000003,29875.243378706284,0.2941284989356996,18
CP02,GA,43434.549999999996,45523.51720694342,0.2825928765439098,13
CP02,LO,2653.04,1986.2998153931442,2.195596021274318,23
CP02,ME,39469.04,38221.33908211749,0.2305678472289622,18
CP02,PA,1753.59,1549.0272965222498,0.3007354954639563,6
CP02,PC,92782.94,99567.10176421868,0.1524207691242741,23
CP02,SP,141990.03,149550.10121083155,0.07735242849129823,10
CP02,TO,3909.12,5591.825614318976,0.43045637235975753,4
CP04,BQ,1735.41,1713.6339468509823,0.983295330704535,7
CP04,CH,12644.729999999998,12598.424560617601,0.10163840642844993,9
CP04,FI,46601.84,47689.43641220059,0.1700054789349811,25
CP04,GA,58479.73,12300.94060090042,0.8936671567530539,11
CP04,LO,5134.669999999999,5634.2144990395045,1.1451024783187491,26
CP04,ME,21160.050000000003,16935.267310806386,0.35688327841335576,21
CP04,PA,4218.46,3763.1226112213735,0.4990527541614052,7
CP04,PC,94400.43,91673.57752567898,0.21843611303456217,26
CP04,SP,145611.99,142321.7445615707,0.13556044566283196,10
CP04,TO,1081.97,2309.4061073789258,1.1344456014297308,4
CP05,BQ,8731.93,9466.57492975399,0.6692325263825546,19
CP05,CH,24574.07,23316.095963375872,0.22481057122201165,10
CP05,FI,96685.50999999998,102326.24460002004,0.2660364972524853,24
CP05,GA,63226.32999999999,76784.05057136907,0.40007481151469254,13
CP05,HT,17938.0,17565.4404264222,0.6914610709788945,2
CP05,LO,4641.88,2932.3601126781787,1.1512726871409422,26
CP05,ME,198491.35,217544.11192539727,0.531338699077967,25
CP05,PA,6603.06,6414.898756811357,0.5074815046814706,9
CP05,PC,188966.94,191699.86302397752,0.21870595548649802,26
CP05,SP,758280.8499999999,649415.232603213,0.30981978917324193,18
CP05,TO,4106.95,5393.032206670489,1.3966272784485216,8
CP06,BQ,12188.33,12653.784302188355,0.33423760966152366,19
CP06,CH,7922.82,11088.69143041073,0.3995889633250196,3
CP06,FI,102852.05,91684.94312534168,0.31309159147085763,25
CP06,GA,89198.91,27434.444759543803,0.7810395445855909,14
CP06,HT,755.7099999999999,1491.7143291565565,0.9739242952409742,3
CP06,LO,4235.249999999999,1968.8427465894306,1.3252146119462171,26
CP06,ME,113465.39,113644.09186863682,0.6365928593760551,26
CP06,PA,1334.91,1996.5537623228813,0.8525636583766872,7
CP06,PC,156644.12,150236.24122411702,0.21165330778635127,26
CP06,SP,299551.98,278597.1953403672,0.22939759761577705,14
CP06,TO,8240.28,10698.757906195777,0.4291100339337423,7
CP07,BQ,20257.5,21743.06745713647,0.19424359739059238,16
CP07,CH,9469.939999999999,10693.746333961382,0.14227161859709403,5
CP07,FI,174227.78,172425.09509502756,0.261489140812867,26
CP07,GA,94988.81000000003,92993.20000108192,0.31068228279314,15
CP07,LO,6726.950000000001,9513.684200359652,0.7637365073415823,26
CP07,ME,213261.03999999998,222600.5550406669,0.3238210119932341,26
CP07,PA,42033.48000000001,23672.252374088202,0.8158323534686508,10
CP07,PC,167569.85,186754.50497296313,0.28622071608307365,26
CP07,SP,266731.18,300532.5450674374,0.2507447741567264,12
CP07,TO,4760.97,6867.595792983723,0.5540327645323696,5
CP08,BQ,2623.7799999999997,3894.2395098470843,1.0519454331652753,11
CP08,CH,1248.67,1800.9266023348428,1.577478702901395,10
CP08,FI,42744.73000000001,42369.73768290816,0.2615282262080827,23
CP08,GA,14596.25,14531.434724593615,0.5192510386079896,12
CP08,HT,2086.7700000000004,3872.216809963534,0.35324153601838787,3
CP08,LO,2781.75,758.8215036833415,1.9208414373426865,24
CP08,ME,38426.909999999996,44161.07799662477,0.43342263094305306,22
CP08,PA,1567.94,1561.842957452921,1.068688554609265,6
CP08,PC,91187.37000000001,88673.32723468074,0.2137089882611188,25
