store_code,city,Week,Forecast_Units,Forecast_Revenue
CP40,Thetford Mines,2026-04-05,51.59000015258789,29339.38
CP40,Thetford Mines,2026-04-12,50.15999984741211,29302.739999999998
CP40,Thetford Mines,2026-04-19,50.15999984741211,29302.739999999998
CP44,St-Constant,2026-03-29,58.68000030517578,30354.38
CP44,St-Constant,2026-04-05,57.170000076293945,29525.61
CP44,St-Constant,2026-04-12,60.11000061035156,29595.52
CP44,St-Constant,2026-04-19,103.69999694824219,30632.15
CP45,Cowansville,2026-03-29,58.25,27033.17
CP45,Cowansville,2026-04-05,68.72999954223633,21357.54
CP45,Cowansville,2026-04-12,89.33000183105469,21896.46
CP45,Cowansville,2026-04-19,111.20999908447266,22468.87
CP46,Sainte-Agathe-des-Monts,2026-03-29,52.75,25591.46
CP46,Sainte-Agathe-des-Monts,2026-04-05,48.540000915527344,22225.65
CP46,Sainte-Agathe-des-Monts,2026-04-12,49.39999961853027,22249.91
CP46,Sainte-Agathe-des-Monts,2026-04-19,91.05000305175781,23424.58
CP47,Riviere-du-Loup,2026-03-29,92.12999725341797,8964.74
CP47,Riviere-du-Loup,2026-04-05,103.43000030517578,21961.63
CP47,Riviere-du-Loup,2026-04-12,107.68000030517578,22009.75
CP47,Riviere-du-Loup,2026-04-19,113.04000091552734,22070.43
CP48,Beloeil,2026-03-29,83.7400016784668,26734.42
CP48,Beloeil,2026-04-05,80.15999984741211,27559.59
CP48,Beloeil,2026-04-12,96.3499984741211,27949.8
CP48,Beloeil,2026-04-19,113.5199966430664,28363.62
