No. Article,Division,Catégorie,Groupe de produit,Répliqué-Franchisé
168720,TO,TAC,ES,1.0
168721,TO,TAC,ES,1.0
168722,TO,TAC,ES,1.0
168723,TO,TAC,ES,1.0
173550,TO,TAC,ES,1.0
173551,TO,TAC,ES,1.0
173552,TO,TAC,ES,1.0
173553,TO,TAC,ES,1.0
174077,CR,SCR,SCR,1.0
174078,CR,SCR,SCR,1.0
174079,CR,SCR,SCR,1.0
174080,CR,SCR,SCR,1.0
174081,CR,SCR,SCR,1.0
174082,CR,SCR,SCR,1.0
174083,CR,SCR,SCR,1.0
174084,CR,SCR,SCR,1.0
174085,CR,SCR,SCR,1.0
160764,SP,SP,SPA,1.0
160847,SP,SP,SPA,1.0
160849,SP,SP,SPA,1.0
160852,SP,SP,SPA,1.0
160854,SP,SP,SPA,1.0
160855,SP,SP,SPA,1.0
160856,SP,SP,SPA,1.0
160857,SP,SP,SPA,1.0
160859,SP,SP,SPA,1.0
160860,SP,SP,SPA,1.0
160863,SP,SP,SPA,1.0
160864,SP,SP,SPA,1.0
160865,SP,SP,SPA,1.0
160866,SP,SP,SPA,1.0
160867,SP,SP,SPA,1.0
160868,SP,SP,SPA,1.0
160869,SP,SP,SPA,1.0
160871,SP,SP,SPA,1.0
160873,SP,SP,SPA,1.0
160875,SP,SP,SPA,1.0
160877,SP,SP,SPA,1.0
160878,SP,SP,SPA,1.0
160879,SP,SP,SPA,1.0
160880,SP,SP,SPA,1.0
160881,SP,SP,SPA,1.0
160882,SP,SP,SPA,1.0
160883,SP,SP,SPA,1.0
160884,SP,SP,SPA,1.0
160885,SP,SP,SPA,1.0
160887,SP,SP,SPA,1.0
160888,SP,SP,SPA,1.0
160889,SP,SP,SPA,1.0
160890,SP,SP,SPA,1.0
160891,SP,SP,SPA,1.0
160892,SP,SP,SPA,1.0
160893,SP,SP,SPA,1.0
160894,SP,SP,SPA,1.0
160895,SP,SP,SPA,1.0
160896,SP,SP,SPA,1.0
160897,SP,SP,SPA,1.0
160899,SP,SP,SPA,1.0
160900,SP,SP,SPA,1.0
160901,SP,SP,SPA,1.0
160902,SP,SP,SPA,1.0
160903,SP,SP,SPA,1.0
160904,SP,SP,SPA,1.0
160906,SP,SP,SPA,1.0
160907,SP,SP,SPA,1.0
160908,SP,SP,SPA,1.0
160909,SP,SP,SPA,1.0
160910,SP,SP,SPA,1.0
160967,SP,SP,SPA,1.0
160968,SP,SP,SPA,1.0
168285,SP,SP,SPA,1.0
168297,SP,SP,SPA,1.0
168298,SP,SP,SPA,1.0
168299,SP,SP,SPA,1.0
168300,SP,SP,SPA,1.0
168301,SP,SP,SPA,1.0
168302,SP,SP,SPA,1.0
168303,SP,SP,SPA,1.0
168304,SP,SP,SPA,1.0
168305,SP,SP,SPA,1.0
168306,SP,SP,SPA,1.0
168307,SP,SP,SPA,1.0
168308,SP,SP,SPA,1.0
168309,SP,SP,SPA,1.0
168310,SP,SP,SPA,1.0
168311,SP,SP,SPA,1.0
168312,SP,SP,SPA,1.0
168313,SP,SP,SPA,1.0
168314,SP,SP,SPA,1.0
168316,SP,SP,SPA,1.0
168318,SP,SP,SPA,1.0
168319,SP,SP,SPA,1.0
168320,SP,SP,SPA,1.0
168321,SP,SP,SPA,1.0
168322,SP,SP,SPA,1.0
168323,SP,SP,SPA,1.0
168324,SP,SP,SPA,1.0
168327,SP,SP,SPA,1.0
168333,SP,SP,SPA,1.0
168335,SP,SP,SPA,1.0
168337,SP,SP,SPA,1.0
168338,SP,SP,SPA,1.0
168339,SP,SP,SPA,1.0
168340,SP,SP,SPA,1.0
168341,SP,SP,SPA,1.0
168342,SP,SP,SPA,1.0
168343,SP,SP,SPA,1.0
168735,SP,SP,SPA,1.0
168736,SP,SP,SPA,1.0
168737,SP,SP,SPA,1.0
168738,SP,SP,SPA,1.0
168739,SP,SP,SPA,1.0
168740,SP,SP,SPA,1.0
168741,SP,SP,SPA,1.0
168742,SP,SP,SPA,1.0
168743,SP,SP,SPA,1.0
168746,SP,SP,SPA,1.0
168747,SP,SP,SPA,1.0
168748,SP,SP,SPA,1.0
168749,SP,SP,SPA,1.0
168750,SP,SP,SPA,1.0
168751,SP,SP,SPA,1.0
168752,SP,SP,SPA,1.0
168753,SP,SP,SPA,1.0
168754,SP,SP,SPA,1.0
168755,SP,SP,SPA,1.0
168756,SP,SP,SPA,1.0
168757,SP,SP,SPA,1.0
168758,SP,SP,SPA,1.0
168759,SP,SP,SPA,1.0
168760,SP,SP,SPA,1.0
168761,SP,SP,SPA,1.0
168762,SP,SP,SPA,1.0
168763,SP,SP,SPA,1.0
168764,SP,SP,SPA,1.0
168765,SP,SP,SPA,1.0
168766,SP,SP,SPA,1.0
168767,SP,SP,SPA,1.0
168768,SP,SP,SPA,1.0
168769,SP,SP,SPA,1.0
168770,SP,SP,SPA,1.0
171702,SP,SP,SPA,1.0
172156,SP,SP,SPA,1.0
173875,SP,SP,SPA,1.0
173876,SP,SP,SPA,1.0
173877,SP,SP,SPA,1.0
173878,SP,SP,SPA,1.0
173879,SP,SP,SPA,1.0
173880,SP,SP,SPA,1.0
174097,SP,SP,SPA,1.0
174098,SP,SP,SPA,1.0
176294,SP,SP,SPA,1.0
176295,SP,SP,SPA,1.0
176296,SP,SP,SPA,1.0
176297,SP,SP,SPA,1.0
176298,SP,SP,SPA,1.0
176299,SP,SP,SPA,1.0
176300,SP,SP,SPA,1.0
176301,SP,SP,SPA,1.0
176302,SP,SP,SPA,1.0
176303,SP,SP,SPA,1.0
176304,SP,SP,SPA,1.0
176305,SP,SP,SPA,1.0
176306,SP,SP,SPA,1.0
176307,SP,SP,SPA,1.0
176308,SP,SP,SPA,1.0
176309,SP,SP,SPA,1.0
176310,SP,SP,SPA,1.0
176311,SP,SP,SPA,1.0
176312,SP,SP,SPA,1.0
176313,SP,SP,SPA,1.0
176314,SP,SP,SPA,1.0
176315,SP,SP,SPA,1.0
176316,SP,SP,SPA,1.0
176317,SP,SP,SPA,1.0
176318,SP,SP,SPA,1.0
176319,SP,SP,SPA,1.0
176320,SP,SP,SPA,1.0
176321,SP,SP,SPA,1.0
176322,SP,SP,SPA,1.0
176532,SP,SP,SPA,1.0
176533,SP,SP,SPA,1.0
176534,SP,SP,SPA,1.0
176535,SP,SP,SPA,1.0
176536,SP,SP,SPA,1.0
176537,SP,SP,SPA,1.0
176538,SP,SP,SPA,1.0
176539,SP,SP,SPA,1.0
176749,SP,SP,SPA,1.0
176750,SP,SP,SPA,1.0
176751,SP,SP,SPA,1.0
176752,SP,SP,SPA,1.0
179131,SP,SP,SPA,1.0
179132,SP,SP,SPA,1.0
179133,SP,SP,SPA,1.0
179134,SP,SP,SPA,1.0
179135,SP,SP,SPA,1.0
179136,SP,SP,SPA,1.0
179137,SP,SP,SPA,1.0
179138,SP,SP,SPA,1.0
179139,SP,SP,SPA,1.0
179140,SP,SP,SPA,1.0
179141,SP,SP,SPA,1.0
179142,SP,SP,SPA,1.0
179143,SP,SP,SPA,1.0
179144,SP,SP,SPA,1.0
179145,SP,SP,SPA,1.0
179146,SP,SP,SPA,1.0
179147,SP,SP,SPA,1.0
179148,SP,SP,SPA,1.0
179149,SP,SP,SPA,1.0
179150,SP,SP,SPA,1.0
179151,SP,SP,SPA,1.0
179152,SP,SP,SPA,1.0
179153,SP,SP,SPA,1.0
179154,SP,SP,SPA,1.0
179155,SP,SP,SPA,1.0
179156,SP,SP,SPA,1.0
179157,SP,SP,SPA,1.0
179158,SP,SP,SPA,1.0
179159,SP,SP,SPA,1.0
179160,SP,SP,SPA,1.0
179161,SP,SP,SPA,1.0
179162,SP,SP,SPA,1.0
179163,SP,SP,SPA,1.0
179164,SP,SP,SPA,1.0
181408,SP,SP,SPA,1.0
182363,SP,SP,SPA,1.0
182364,SP,SP,SPA,1.0
182365,SP,SP,SPA,1.0
182366,SP,SP,SPA,1.0
182367,SP,SP,SPA,1.0
182368,SP,SP,SPA,1.0
182369,SP,SP,SPA,1.0
182370,SP,SP,SPA,1.0
182371,SP,SP,SPA,1.0
182372,SP,SP,SPA,1.0
182373,SP,SP,SPA,1.0
182374,SP,SP,SPA,1.0
182375,SP,SP,SPA,1.0
182376,SP,SP,SPA,1.0
182377,SP,SP,SPA,1.0
182378,SP,SP,SPA,1.0
182379,SP,SP,SPA,1.0
182380,SP,SP,SPA,1.0
182381,SP,SP,SPA,1.0
182382,SP,SP,SPA,1.0
182383,SP,SP,SPA,1.0
182384,SP,SP,SPA,1.0
182385,SP,SP,SPA,1.0
182386,SP,SP,SPA,1.0
182387,SP,SP,SPA,1.0
182388,SP,SP,SPA,1.0
182389,SP,SP,SPA,1.0
182390,SP,SP,SPA,1.0
182391,SP,SP,SPA,1.0
182392,SP,SP,SPA,1.0
182393,SP,SP,SPA,1.0
182394,SP,SP,SPA,1.0
182395,SP,SP,SPA,1.0
182396,SP,SP,SPA,1.0
182397,SP,SP,SPA,1.0
182398,SP,SP,SPA,1.0
182399,SP,SP,SPA,1.0
182400,SP,SP,SPA,1.0
182471,SP,SP,SPA,1.0
182472,SP,SP,SPA,1.0
182473,SP,SP,SPA,1.0
182474,SP,SP,SPA,1.0
160623,SP,SP,SPA,1.0
160624,SP,SP,SPA,1.0
160625,SP,SP,SPA,1.0
160626,SP,SP,SPA,1.0
160627,SP,SP,SPA,1.0
160628,SP,SP,SPA,1.0
160629,SP,SP,SPA,1.0
160630,SP,SP,SPA,1.0
160631,SP,SP,SPA,1.0
160632,SP,SP,SPA,1.0
160633,SP,SP,SPA,1.0
160634,SP,SP,SPA,1.0
160635,SP,SP,SPA,1.0
160636,SP,SP,SPA,1.0
160637,SP,SP,SPA,1.0
160638,SP,SP,SPA,1.0
160639,SP,SP,SPA,1.0
160640,SP,SP,SPA,1.0
160641,SP,SP,SPA,1.0
160642,SP,SP,SPA,1.0
160643,SP,SP,SPA,1.0
160644,SP,SP,SPA,1.0
160645,SP,SP,SPA,1.0
160646,SP,SP,SPA,1.0
160647,SP,SP,SPA,1.0
160648,SP,SP,SPA,1.0
160649,SP,SP,SPA,1.0
160650,SP,SP,SPA,1.0
160651,SP,SP,SPA,1.0
160652,SP,SP,SPA,1.0
160653,SP,SP,SPA,1.0
160654,SP,SP,SPA,1.0
172555,SP,SP,SPA,1.0
172556,SP,SP,SPA,1.0
172557,SP,SP,SPA,1.0
172558,SP,SP,SPA,1.0
172559,SP,SP,SPA,1.0
172560,SP,SP,SPA,1.0
172561,SP,SP,SPA,1.0
172562,SP,SP,SPA,1.0
176462,SP,SP,SPA,1.0
176463,SP,SP,SPA,1.0
176474,SP,SP,SPA,1.0
176475,SP,SP,SPA,1.0
176476,SP,SP,SPA,1.0
176477,SP,SP,SPA,1.0
176479,SP,SP,SPA,1.0
176480,SP,SP,SPA,1.0
176481,SP,SP,SPA,1.0
176482,SP,SP,SPA,1.0
176490,SP,SP,SPA,1.0
176495,SP,SP,SPA,1.0
176496,SP,SP,SPA,1.0
176834,SP,SP,SPA,1.0
176835,SP,SP,SPA,1.0
178817,SP,SP,SPA,1.0
178818,SP,SP,SPA,1.0
178819,SP,SP,SPA,1.0
178820,SP,SP,SPA,1.0
178821,SP,SP,SPA,1.0
178822,SP,SP,SPA,1.0
178823,SP,SP,SPA,1.0
178824,SP,SP,SPA,1.0
178825,SP,SP,SPA,1.0
178826,SP,SP,SPA,1.0
178827,SP,SP,SPA,1.0
178828,SP,SP,SPA,1.0
178829,SP,SP,SPA,1.0
178830,SP,SP,SPA,1.0
178831,SP,SP,SPA,1.0
178832,SP,SP,SPA,1.0
178833,SP,SP,SPA,1.0
178834,SP,SP,SPA,1.0
178835,SP,SP,SPA,1.0
178836,SP,SP,SPA,1.0
178837,SP,SP,SPA,1.0
178838,SP,SP,SPA,1.0
181874,SP,SP,SPA,1.0
181875,SP,SP,SPA,1.0
181876,SP,SP,SPA,1.0
181877,SP,SP,SPA,1.0
181878,SP,SP,SPA,1.0
181879,SP,SP,SPA,1.0
181880,SP,SP,SPA,1.0
181881,SP,SP,SPA,1.0
181882,SP,SP,SPA,1.0
181883,SP,SP,SPA,1.0
181884,SP,SP,SPA,1.0
181885,SP,SP,SPA,1.0
181886,SP,SP,SPA,1.0
181887,SP,SP,SPA,1.0
181888,SP,SP,SPA,1.0
181889,SP,SP,SPA,1.0
181890,SP,SP,SPA,1.0
181891,SP,SP,SPA,1.0
181892,SP,SP,SPA,1.0
181893,SP,SP,SPA,1.0
181894,SP,SP,SPA,1.0
181895,SP,SP,SPA,1.0
181896,SP,SP,SPA,1.0
181897,SP,SP,SPA,1.0
181898,SP,SP,SPA,1.0
181899,SP,SP,SPA,1.0
181900,SP,SP,SPA,1.0
181901,SP,SP,SPA,1.0
181902,SP,SP,SPA,1.0
181903,SP,SP,SPA,1.0
181904,SP,SP,SPA,1.0
181905,SP,SP,SPA,1.0
181906,SP,SP,SPA,1.0
181907,SP,SP,SPA,1.0
181908,SP,SP,SPA,1.0
181909,SP,SP,SPA,1.0
181910,SP,SP,SPA,1.0
181911,SP,SP,SPA,1.0
181912,SP,SP,SPA,1.0
181913,SP,SP,SPA,1.0
181914,SP,SP,SPA,1.0
181915,SP,SP,SPA,1.0
181916,SP,SP,SPA,1.0
181917,SP,SP,SPA,1.0
154079,SP,SP,SPA,1.0
154080,SP,SP,SPA,1.0
154086,SP,SP,SPA,1.0
160935,SP,SP,SPA,1.0
160939,SP,SP,SPA,1.0
160942,SP,SP,SPA,1.0
160943,SP,SP,SPA,1.0
160944,SP,SP,SPA,1.0
160945,SP,SP,SPA,1.0
160947,SP,SP,SPA,1.0
160948,SP,SP,SPA,1.0
160953,SP,SP,SPA,1.0
160958,SP,SP,SPA,1.0
160964,SP,SP,SPA,1.0
168744,SP,SP,SPA,1.0
180541,SP,SP,SPA,1.0
180542,SP,SP,SPA,1.0
130854,AS,AS,SPC,1.0
130855,AS,AS,SPC,1.0
130856,AS,AS,SPC,1.0
130857,AS,AS,SPC,1.0
130858,AS,AS,SPC,1.0
130859,AS,AS,SPC,1.0
130860,AS,AS,SPC,1.0
130861,AS,AS,SPC,1.0
130872,AS,AS,SPC,1.0
143539,AS,AS,SPC,1.0
155030,AS,AS,SPC,1.0
155031,AS,AS,SPC,1.0
161136,AS,AS,SPC,1.0
161137,AS,AS,SPC,1.0
161138,AS,AS,SPC,1.0
161139,AS,AS,SPC,1.0
161140,AS,AS,SPC,1.0
161141,AS,AS,SPC,1.0
161142,AS,AS,SPC,1.0
161143,AS,AS,SPC,1.0
161144,AS,AS,SPC,1.0
167384,AS,AS,SPC,1.0
167385,AS,AS,SPC,1.0
168539,AS,AS,SPC,1.0
168540,AS,AS,SPC,1.0
168541,AS,AS,SPC,1.0
168542,AS,AS,SPC,1.0
168543,AS,AS,SPC,1.0
168544,AS,AS,SPC,1.0
168545,AS,AS,SPC,1.0
168546,AS,AS,SPC,1.0
168547,AS,AS,SPC,1.0
168548,AS,AS,SPC,1.0
168549,AS,AS,SPC,1.0
169015,AS,AS,SPC,1.0
169156,AS,AS,SPC,1.0
169157,AS,AS,SPC,1.0
173209,AS,AS,SPC,1.0
173251,AS,AS,SPC,1.0
173485,AS,AS,SPC,1.0
173765,AS,AS,SPC,1.0
173767,AS,AS,SPC,1.0
173768,AS,AS,SPC,1.0
173942,AS,AS,SPC,1.0
174205,AS,AS,SPC,1.0
174696,AS,AS,SPC,1.0
176283,AS,AS,SPC,1.0
176710,AS,AS,SPC,1.0
176711,AS,AS,SPC,1.0
176712,AS,AS,SPC,1.0
176724,AS,AS,SPC,1.0
176725,AS,AS,SPC,1.0
176726,AS,AS,SPC,1.0
176730,AS,AS,SPC,1.0
176731,AS,AS,SPC,1.0
176734,AS,AS,SPC,1.0
176735,AS,AS,SPC,1.0
176736,AS,AS,SPC,1.0
176737,AS,AS,SPC,1.0
176810,AS,AS,SPC,1.0
176815,AS,AS,SPC,1.0
176816,AS,AS,SPC,1.0
176817,AS,AS,SPC,1.0
178739,AS,AS,SPC,1.0
180234,AS,AS,SPC,1.0
180318,AS,AS,SPC,1.0
180319,AS,AS,SPC,1.0
180320,AS,AS,SPC,1.0
180519,AS,AS,SPC,1.0
182239,AS,AS,SPC,1.0
182414,AS,AS,SPC,1.0
182482,AS,AS,SPC,1.0
182483,AS,AS,SPC,1.0
182484,AS,AS,SPC,1.0
182878,AS,AS,SPC,1.0
182879,AS,AS,SPC,1.0
183534,AS,AS,SPC,1.0
109840,AS,AS,SPM,1.0
112132,AS,AS,SPM,1.0
136584,AS,AS,SPM,1.0
136586,AS,AS,SPM,1.0
143683,AS,AS,SPM,1.0
146843,AS,AS,SLE,1.0
147697,AS,AS,SPM,1.0
147698,AS,AS,SPM,1.0
147699,AS,AS,SPM,1.0
147700,AS,AS,SPM,1.0
160445,AS,AS,SPM,1.0
160446,AS,AS,SPM,1.0
160447,AS,AS,SPM,1.0
160448,AS,AS,SPM,1.0
167520,AS,AS,SLE,1.0
167791,AS,AS,SDI,1.0
168550,AS,AS,SPR,1.0
169012,AS,AS,SLE,1.0
169013,AS,AS,SLE,1.0
169014,AS,AS,SLE,1.0
169073,AS,AS,SLE,1.0
169074,AS,AS,SLE,1.0
169075,AS,AS,SLE,1.0
169076,AS,AS,SLE,1.0
171674,AS,AS,SPM,1.0
171689,AS,AS,SDI,1.0
171690,AS,AS,SDI,1.0
171826,AS,AS,SLE,1.0
174146,AS,AS,SPM,1.0
174724,AS,AS,SLE,1.0
176114,AS,AS,APS,1.0
176292,AS,AS,SPM,1.0
176364,AS,AS,SPM,1.0
176365,AS,AS,SPM,1.0
176563,AS,AS,SFF,1.0
176707,AS,AS,STA,1.0
176708,AS,AS,STA,1.0
176709,AS,AS,STA,1.0
176723,AS,AS,SPM,1.0
177191,AS,AS,SDI,1.0
178883,AS,AS,SFF,1.0
178884,AS,AS,SFF,1.0
178887,AS,AS,SFF,1.0
178889,AS,AS,SFF,1.0
178890,AS,AS,SFF,1.0
178891,AS,AS,SFF,1.0
178892,AS,AS,SFF,1.0
178893,AS,AS,SFF,1.0
178894,AS,AS,SFF,1.0
179086,AS,AS,SFF,1.0
179598,AS,AS,SFF,1.0
179824,AS,AS,SFF,1.0
180232,AS,AS,SPM,1.0
182359,AS,AS,SPM,1.0
182360,AS,AS,SPM,1.0
182444,AS,AS,SFF,1.0
182479,AS,AS,SDI,1.0
182480,AS,AS,SDI,1.0
183082,AS,AS,STA,1.0
183083,AS,AS,STA,1.0
183418,AS,AS,SDI,1.0
183658,AS,AS,SDI,1.0
183659,AS,AS,SDI,1.0
183660,AS,AS,SDI,1.0
102184,AS,AS,SFF,1.0
102187,AS,AS,SFF,1.0
102188,AS,AS,SFF,1.0
102189,AS,AS,SFF,1.0
102190,AS,AS,SFF,1.0
102191,AS,AS,SFF,1.0
102192,AS,AS,SFF,1.0
102200,AS,AS,SFF,1.0
102203,AS,AS,SFF,1.0
102208,AS,AS,SFF,1.0
102209,AS,AS,SFF,1.0
102210,AS,AS,SFF,1.0
102213,AS,AS,SFF,1.0
102226,AS,AS,SFF,1.0
102232,AS,AS,SFF,1.0
102233,AS,AS,SFF,1.0
102234,AS,AS,SFF,1.0
102235,AS,AS,SFF,1.0
102236,AS,AS,SFF,1.0
102238,AS,AS,SFF,1.0
102239,AS,AS,SFF,1.0
102246,AS,AS,SFF,1.0
102247,AS,AS,SFF,1.0
102248,AS,AS,SFF,1.0
102249,AS,AS,SFF,1.0
102250,AS,AS,SFF,1.0
102252,AS,AS,SFF,1.0
104301,AS,AS,SFF,1.0
106016,AS,AS,SFF,1.0
107126,AS,AS,SFF,1.0
109045,AS,AS,SFF,1.0
109923,AS,AS,SFF,1.0
109926,AS,AS,SFF,1.0
109927,AS,AS,SFF,1.0
110213,AS,AS,SFF,1.0
110734,AS,AS,SFF,1.0
110735,AS,AS,SFF,1.0
112591,AS,AS,SFF,1.0
113160,AS,AS,SFF,1.0
114762,AS,AS,SFF,1.0
116711,AS,AS,SFF,1.0
116712,AS,AS,SFF,1.0
117689,AS,AS,SFF,1.0
117982,AS,AS,SFF,1.0
117983,AS,AS,SFF,1.0
122726,AS,AS,SFF,1.0
123358,AS,AS,SFF,1.0
138840,AS,AS,SFF,1.0
138842,AS,AS,SFF,1.0
138843,AS,AS,SFF,1.0
138844,AS,AS,SFF,1.0
138845,AS,AS,SFF,1.0
138847,AS,AS,SFF,1.0
138850,AS,AS,SFF,1.0
138851,AS,AS,SFF,1.0
138852,AS,AS,SFF,1.0
138859,AS,AS,SFF,1.0
138861,AS,AS,SFF,1.0
138862,AS,AS,SFF,1.0
138865,AS,AS,SFF,1.0
138866,AS,AS,SFF,1.0
138867,AS,AS,SFF,1.0
138869,AS,AS,SFF,1.0
138873,AS,AS,SFF,1.0
138874,AS,AS,SFF,1.0
138875,AS,AS,SFF,1.0
138881,AS,AS,SFF,1.0
138884,AS,AS,SFF,1.0
138889,AS,AS,SFF,1.0
138890,AS,AS,SFF,1.0
138891,AS,AS,SFF,1.0
138892,AS,AS,SFF,1.0
138894,AS,AS,SFF,1.0
138895,AS,AS,SFF,1.0
138899,AS,AS,SFF,1.0
139014,AS,AS,SFF,1.0
139019,AS,AS,SFF,1.0
139140,AS,AS,SFF,1.0
139252,AS,AS,SFF,1.0
139591,AS,AS,SFF,1.0
140772,AS,AS,SFF,1.0
140807,AS,AS,SFF,1.0
140808,AS,AS,SFF,1.0
141207,AS,AS,SFF,1.0
141208,AS,AS,SFF,1.0
141721,AS,AS,SFF,1.0
141739,AS,AS,SFF,1.0
141931,AS,AS,SFF,1.0
142186,AS,AS,SFF,1.0
142546,AS,AS,SFF,1.0
143602,AS,AS,SFF,1.0
143603,AS,AS,SFF,1.0
143604,AS,AS,SFF,1.0
143605,AS,AS,SFF,1.0
143619,AS,AS,SFF,1.0
144743,AS,AS,SFF,1.0
145378,AS,AS,SFF,1.0
145446,AS,AS,SFF,1.0
145760,AS,AS,SFF,1.0
145799,AS,AS,SFF,1.0
145800,AS,AS,SFF,1.0
145801,AS,AS,SFF,1.0
146342,AS,AS,SFF,1.0
146359,AS,AS,SFF,1.0
146578,AS,AS,SFF,1.0
146579,AS,AS,SFF,1.0
146580,AS,AS,SFF,1.0
146581,AS,AS,SFF,1.0
146696,AS,AS,SFF,1.0
140931,AS,ASC,SPT,1.0
145952,AS,ASC,SPT,1.0
145955,AS,ASC,SPT,1.0
146029,AS,ASC,SPT,1.0
148798,AS,ASC,SPT,1.0
148799,AS,ASC,SPT,1.0
153831,AS,ASC,SPT,1.0
153832,AS,ASC,SPT,1.0
153842,AS,ASC,SPT,1.0
160151,AS,ASC,SPT,1.0
160848,AS,ASC,SPT,1.0
160858,AS,ASC,SPT,1.0
160861,AS,ASC,SPT,1.0
160876,AS,ASC,SPT,1.0
160886,AS,ASC,SPT,1.0
160898,AS,ASC,SPT,1.0
160905,AS,ASC,SPT,1.0
160937,AS,ASC,SPT,1.0
160938,AS,ASC,SPT,1.0
167551,AS,ASC,SPT,1.0
167556,AS,ASC,SPT,1.0
167558,AS,ASC,SPT,1.0
167559,AS,ASC,SPT,1.0
167560,AS,ASC,SPT,1.0
167561,AS,ASC,SPT,1.0
167562,AS,ASC,SPT,1.0
168734,AS,ASC,SPT,1.0
172416,AS,ASC,SPT,1.0
173208,AS,ASC,SCS,1.0
173764,AS,ASC,SCN,1.0
173881,AS,ASC,SCS,1.0
174695,AS,ASC,SCS,1.0
174722,AS,ASC,SCS,1.0
176720,AS,ASC,SCN,1.0
176727,AS,ASC,SCN,1.0
176728,AS,ASC,SCN,1.0
176729,AS,ASC,SCN,1.0
176732,AS,ASC,SCN,1.0
176733,AS,ASC,SCN,1.0
176738,AS,ASC,SCN,1.0
176739,AS,ASC,SCN,1.0
176740,AS,ASC,SCN,1.0
176741,AS,ASC,SCN,1.0
176742,AS,ASC,SCN,1.0
176743,AS,ASC,SCN,1.0
176744,AS,ASC,SCN,1.0
176745,AS,ASC,SCN,1.0
176747,AS,ASC,SCN,1.0
182495,AS,ASC,SCN,1.0
182518,AS,ASC,SCN,1.0
182519,AS,ASC,SCN,1.0
182520,AS,ASC,SCN,1.0
143617,AS,AS,SPC,1.0
143618,AS,AS,SPC,1.0
183225,AS,AS,SPC,1.0
141019,AS,ASC,SPT,1.0
141020,AS,ASC,SPT,1.0
141021,AS,ASC,SPT,1.0
141022,AS,ASC,SPT,1.0
141023,AS,ASC,SPT,1.0
141024,AS,ASC,SPT,1.0
141025,AS,ASC,SPT,1.0
141026,AS,ASC,SPT,1.0
141027,AS,ASC,SPT,1.0
141028,AS,ASC,SPT,1.0
141029,AS,ASC,SPT,1.0
141030,AS,ASC,SPT,1.0
141032,AS,ASC,SPT,1.0
141033,AS,ASC,SPT,1.0
141034,AS,ASC,SPT,1.0
141035,AS,ASC,SPT,1.0
141036,AS,ASC,SPT,1.0
141037,AS,ASC,SPT,1.0
141038,AS,ASC,SPT,1.0
141039,AS,ASC,SPT,1.0
141041,AS,ASC,SPT,1.0
141042,AS,ASC,SPT,1.0
141043,AS,ASC,SPT,1.0
141044,AS,ASC,SPT,1.0
141045,AS,ASC,SPT,1.0
141052,AS,ASC,SPT,1.0
141053,AS,ASC,SPT,1.0
141054,AS,ASC,SPT,1.0
141055,AS,ASC,SPT,1.0
141056,AS,ASC,SPT,1.0
141057,AS,ASC,SPT,1.0
141058,AS,ASC,SPT,1.0
141059,AS,ASC,SPT,1.0
141066,AS,ASC,SPT,1.0
141067,AS,ASC,SPT,1.0
141068,AS,ASC,SPT,1.0
141069,AS,ASC,SPT,1.0
141138,AS,ASC,SPT,1.0
141139,AS,ASC,SPT,1.0
141689,AS,ASC,SPT,1.0
141720,AS,ASC,SPT,1.0
141742,AS,ASC,SPT,1.0
141855,AS,ASC,SPT,1.0
144561,AS,ASC,SPT,1.0
145379,AS,ASC,SPT,1.0
145380,AS,ASC,SPT,1.0
147730,AS,ASC,SPT,1.0
147731,AS,ASC,SPT,1.0
147732,AS,ASC,SPT,1.0
147733,AS,ASC,SPT,1.0
147734,AS,ASC,SPT,1.0
153843,AS,ASC,SPT,1.0
153844,AS,ASC,SPT,1.0
153847,AS,ASC,SPT,1.0
153850,AS,ASC,SPT,1.0
153851,AS,ASC,SPT,1.0
153852,AS,ASC,SPT,1.0
153853,AS,ASC,SPT,1.0
153854,AS,ASC,SPT,1.0
153855,AS,ASC,SPT,1.0
153858,AS,ASC,SPT,1.0
153859,AS,ASC,SPT,1.0
153860,AS,ASC,SPT,1.0
153861,AS,ASC,SPT,1.0
153862,AS,ASC,SPT,1.0
153863,AS,ASC,SPT,1.0
153864,AS,ASC,SPT,1.0
153865,AS,ASC,SPT,1.0
153866,AS,ASC,SPT,1.0
153867,AS,ASC,SPT,1.0
153868,AS,ASC,SPT,1.0
153869,AS,ASC,SPT,1.0
153870,AS,ASC,SPT,1.0
153871,AS,ASC,SPT,1.0
153872,AS,ASC,SPT,1.0
153873,AS,ASC,SPT,1.0
153874,AS,ASC,SPT,1.0
153875,AS,ASC,SPT,1.0
153876,AS,ASC,SPT,1.0
153877,AS,ASC,SPT,1.0
153878,AS,ASC,SPT,1.0
153879,AS,ASC,SPT,1.0
153880,AS,ASC,SPT,1.0
153881,AS,ASC,SPT,1.0
153882,AS,ASC,SPT,1.0
153883,AS,ASC,SPT,1.0
153884,AS,ASC,SPT,1.0
153885,AS,ASC,SPT,1.0
153886,AS,ASC,SPT,1.0
153887,AS,ASC,SPT,1.0
153888,AS,ASC,SPT,1.0
153889,AS,ASC,SPT,1.0
153890,AS,ASC,SPT,1.0
153891,AS,ASC,SPT,1.0
153952,AS,ASC,SPT,1.0
153954,AS,ASC,SPT,1.0
153955,AS,ASC,SPT,1.0
153956,AS,ASC,SPT,1.0
153957,AS,ASC,SPT,1.0
153958,AS,ASC,SPT,1.0
