No. Article,Division,Catégorie,Groupe de produit,Répliqué-Franchisé
175858,PI,ZME,PM5,1.0
175859,PI,ZME,PM5,1.0
176053,PI,ZME,PM5,1.0
176054,PI,ZME,PM5,1.0
176234,PI,ZME,PM5,1.0
176235,PI,ZME,PM5,1.0
176757,PI,ZME,PM5,1.0
177955,PI,ZME,PM5,1.0
177956,PI,ZME,PM5,1.0
177957,PI,ZME,PM5,1.0
177958,PI,ZME,PM5,1.0
177959,PI,ZME,PM5,1.0
177960,PI,ZME,PM5,1.0
177961,PI,ZME,PM5,1.0
177962,PI,ZME,PM5,1.0
177963,PI,ZME,PM5,1.0
177964,PI,ZME,PM5,1.0
177965,PI,ZME,PM5,1.0
177966,PI,ZME,PM5,1.0
177967,PI,ZME,PM5,1.0
177968,PI,ZME,PM5,1.0
177983,PI,ZME,PM5,1.0
177984,PI,ZME,PM5,1.0
177986,PI,ZME,PM5,1.0
177987,PI,ZME,PM5,1.0
177988,PI,ZME,PM5,1.0
177994,PI,ZME,PM5,1.0
177995,PI,ZME,PM5,1.0
177996,PI,ZME,PM5,1.0
177997,PI,ZME,PM5,1.0
177998,PI,ZME,PM5,1.0
177999,PI,ZME,PM5,1.0
178000,PI,ZME,PM5,1.0
178789,PI,ZME,PM5,1.0
178790,PI,ZME,PM5,1.0
179119,PI,ZME,PM5,1.0
180213,PI,ZME,PM5,1.0
180214,PI,ZME,PM5,1.0
180668,PI,ZME,PM5,1.0
180669,PI,ZME,PM5,1.0
180670,PI,ZME,PM5,1.0
180671,PI,ZME,PM5,1.0
180673,PI,ZME,PM5,1.0
180675,PI,ZME,PM5,1.0
180709,PI,ZME,PM5,1.0
180710,PI,ZME,PM5,1.0
180711,PI,ZME,PM5,1.0
180712,PI,ZME,PM5,1.0
180713,PI,ZME,PM5,1.0
180714,PI,ZME,PM5,1.0
180721,PI,ZME,PM5,1.0
152468,PI,ZME,PM5,0.0
152469,PI,ZME,PM5,0.0
152470,PI,ZME,PM5,0.0
152803,PI,ZME,PM5,0.0
156522,PI,ZME,PM5,0.0
177056,PI,ZME,PM5,0.0
179701,PI,ZME,PM5,0.0
179705,PI,ZME,PM5,0.0
180674,PI,ZME,PM5,0.0
183152,PI,ZME,PM5,0.0
183153,PI,ZME,PM5,0.0
183165,PI,ZME,PM5,0.0
183431,PI,ZME,PM5,0.0
183547,PI,ZME,PM5,0.0
183932,PI,ZME,PM5,0.0
183933,PI,ZME,PM5,0.0
183934,PI,ZME,PM5,0.0
183935,PI,ZME,PM5,0.0
183936,PI,ZME,PM5,0.0
183937,PI,ZME,PM5,0.0
183938,PI,ZME,PM5,0.0
183939,PI,ZME,PM5,0.0
183940,PI,ZME,PM5,0.0
183941,PI,ZME,PM5,0.0
183942,PI,ZME,PM5,0.0
183943,PI,ZME,PM5,0.0
183944,PI,ZME,PM5,0.0
183945,PI,ZME,PM5,0.0
183946,PI,ZME,PM5,0.0
183947,PI,ZME,PM5,0.0
183948,PI,ZME,PM5,0.0
183949,PI,ZME,PM5,0.0
183950,PI,ZME,PM5,0.0
183951,PI,ZME,PM5,0.0
183952,PI,ZME,PM5,0.0
183953,PI,ZME,PM5,0.0
183954,PI,ZME,PM5,0.0
183955,PI,ZME,PM5,0.0
183956,PI,ZME,PM5,0.0
183957,PI,ZME,PM5,0.0
183958,PI,ZME,PM5,0.0
183959,PI,ZME,PM5,0.0
120745,PI,ZME,PM5,0.0
125592,PI,ZME,PM5,0.0
125824,PI,ZME,PM5,0.0
145012,PI,ZME,PM5,0.0
152123,PI,ZME,PM5,0.0
152124,PI,ZME,PM5,0.0
152185,PI,ZME,PM5,0.0
152186,PI,ZME,PM5,0.0
152510,PI,ZME,PM5,0.0
152511,PI,ZME,PM5,0.0
152513,PI,ZME,PM5,0.0
152629,PI,ZME,PM5,0.0
152656,PI,ZME,PM5,0.0
152657,PI,ZME,PM5,0.0
152658,PI,ZME,PM5,0.0
152659,PI,ZME,PM5,0.0
152660,PI,ZME,PM5,0.0
152661,PI,ZME,PM5,0.0
152662,PI,ZME,PM5,0.0
152663,PI,ZME,PM5,0.0
152664,PI,ZME,PM5,0.0
152665,PI,ZME,PM5,0.0
152666,PI,ZME,PM5,0.0
152667,PI,ZME,PM5,0.0
152708,PI,ZME,PM5,0.0
152709,PI,ZME,PM5,0.0
152710,PI,ZME,PM5,0.0
152718,PI,ZME,PM5,0.0
152719,PI,ZME,PM5,0.0
