feature,importance
n_transactions,690
units_lag_1w,437
avg_price_per_unit,280
units_lag_52w,192
units_lag_2w,178
units_roll4_std,157
store_enc,118
units_roll4_mean,118
sunshine_hours_dev,93
units_roll12_std,91
cumulative_sales_count,83
div_enc,77
avg_temp_lag_1w,74
units_roll8_std,74
revenue_lag_1w,73
avg_temp,71
sin_week_1,70
temp_shock,62
weeks_with_sales,61
units_volatility,60
temp_warming,58
max_temp,55
price_lag_1w,54
avg_temp_lag_2w,54
temp_warming_x_spr,53
sunshine_hours,44
revenue_roll4_mean,42
avg_temp_dev,41
units_roll8_mean,39
units_lag_4w,38
cos_week_2,36
sin_week_2,36
cos_week_1,35
units_roll12_mean,32
rain_days_dev,29
total_precip,28
total_precip_dev,28
revenue_lag_4w,27
cooling_degree_days,23
bad_weather_days_dev,19
precip_x_summer,19
week_of_yr,17
precip_x_spring,16
sunshine_hours_dev_z,14
sunshine_x_summer,14
rain_days_dev_z,11
avg_temp_dev_z,11
total_precip_dev_z,9
heating_degree_days,9
zero_frac_12w,6
bad_weather_days_dev_z,6
bad_weather_days,6
snow_days_dev,3
bad_wx_x_summer,3
month,2
is_spring_opening,2
n_holidays,1
has_holiday,1
rain_days,1
snow_days,1
is_fall_closing,0
is_winter_off,0
temp_below_0,0
temp_above_25,0
temp_above_25_x_sum,0
temp_above_20,0
is_summer_peak,0
quarter,0
is_active_product,0
year_idx,0
snow_days_dev_z,0
