fold,train_rows,test_rows,test_period,season,mae,wmape,r2
1,9318,656,2024-12-01 to 2024-12-22,Winter,5.143067215395425,0.20326859219781895,0.8532962580360859
2,10839,755,2025-02-09 to 2025-03-02,Winter,5.703274102305432,0.30288551663493835,0.3897537428190253
3,13263,1059,2025-04-27 to 2025-05-18,Spring,37.13205973347301,0.1611896212796024,0.9509470374918694
4,16199,1067,2025-07-13 to 2025-08-03,Summer,12.94497890071993,0.09308290137996028,0.9885773819204198
5,19020,845,2025-09-28 to 2025-10-19,Fall,12.725869718680164,0.1592972359422967,0.9528368225717154
6,20956,410,2025-12-14 to 2026-01-04,Winter,6.427690672475929,0.23072607036553414,0.7445978169809873
