store_code,city,division_code,Week,Forecast_Units,model,ASP,Forecast_Revenue
CP07,Liquidation,PC,2026-04-12,83.23999786376953,XGBoost_Stratified,27.612301102666606,2298.45
CP07,Liquidation,PC,2026-04-19,69.88999938964844,XGBoost_Stratified,27.612301102666606,1929.82
CP08,Longueuil,ME,2026-03-29,9.630000114440918,XGBoost_Stratified,254.23476284584981,2448.28
CP08,Longueuil,ME,2026-04-05,4.550000190734863,XGBoost_Stratified,294.2319231467199,1338.76
CP08,Longueuil,ME,2026-04-12,4.550000190734863,XGBoost_Stratified,294.2319231467199,1338.76
CP08,Longueuil,ME,2026-04-19,14.5,XGBoost_Stratified,294.2319231467199,4266.36
CP08,Longueuil,PC,2026-03-29,56.040000915527344,XGBoost_Stratified,22.350462569467147,1252.52
CP08,Longueuil,PC,2026-04-05,38.5099983215332,XGBoost_Stratified,24.611582950240496,947.79
CP08,Longueuil,PC,2026-04-12,58.09000015258789,XGBoost_Stratified,24.611582950240496,1429.69
CP08,Longueuil,PC,2026-04-19,67.54000091552734,XGBoost_Stratified,24.611582950240496,1662.27
CP10,Saint-Jérôme,LO,2026-03-29,10.960000038146973,XGBoost_Stratified,10.219017857142857,112.0
CP10,Saint-Jérôme,LO,2026-04-05,10.960000038146973,XGBoost_Stratified,13.88262237762238,152.15
CP10,Saint-Jérôme,LO,2026-04-12,14.140000343322754,XGBoost_Stratified,13.88262237762238,196.3
CP10,Saint-Jérôme,LO,2026-04-19,15.75,XGBoost_Stratified,13.88262237762238,218.65
CP10,Saint-Jérôme,ME,2026-03-29,0.6499999761581421,XGBoost_Stratified,275.92967885399776,179.35
CP10,Saint-Jérôme,ME,2026-04-05,0.6499999761581421,XGBoost_Stratified,242.227750400641,157.45
CP10,Saint-Jérôme,ME,2026-04-12,11.199999809265137,XGBoost_Stratified,242.227750400641,2712.95
CP10,Saint-Jérôme,ME,2026-04-19,37.150001525878906,XGBoost_Stratified,242.227750400641,8998.76
CP10,Saint-Jérôme,PC,2026-03-29,86.7699966430664,XGBoost_Stratified,24.23346636509558,2102.74
CP10,Saint-Jérôme,PC,2026-04-05,84.91000366210938,XGBoost_Stratified,25.30096870725034,2148.31
CP10,Saint-Jérôme,PC,2026-04-12,96.08999633789062,XGBoost_Stratified,25.30096870725034,2431.17
CP10,Saint-Jérôme,PC,2026-04-19,104.88999938964844,XGBoost_Stratified,25.30096870725034,2653.82
CP12,St-Georges-de-Beauce,PC,2026-03-29,39.349998474121094,XGBoost_Stratified,26.490000000000002,1042.38
CP12,St-Georges-de-Beauce,PC,2026-04-05,52.709999084472656,XGBoost_Stratified,28.79501231348689,1517.79
CP12,St-Georges-de-Beauce,PC,2026-04-12,56.63999938964844,XGBoost_Stratified,28.79501231348689,1630.95
CP12,St-Georges-de-Beauce,PC,2026-04-19,65.48999786376953,XGBoost_Stratified,28.79501231348689,1885.79
CP13,Victoriaville,PC,2026-03-29,61.9900016784668,XGBoost_Stratified,22.664712490479815,1404.99
CP13,Victoriaville,PC,2026-04-05,90.69000244140625,XGBoost_Stratified,25.0354813227951,2270.47
CP13,Victoriaville,PC,2026-04-12,93.86000061035156,XGBoost_Stratified,25.0354813227951,2349.83
CP13,Victoriaville,PC,2026-04-19,107.19999694824219,XGBoost_Stratified,25.0354813227951,2683.8
CP15,Repentigny,ME,2026-03-29,27.34000015258789,XGBoost_Stratified,277.44865567765567,7585.45
CP15,Repentigny,ME,2026-04-05,34.66999816894531,XGBoost_Stratified,244.6609097127223,8482.39
CP15,Repentigny,ME,2026-04-12,31.100000381469727,XGBoost_Stratified,244.6609097127223,7608.95
CP15,Repentigny,ME,2026-04-19,31.350000381469727,XGBoost_Stratified,244.6609097127223,7670.12
CP15,Repentigny,PC,2026-03-29,50.599998474121094,XGBoost_Stratified,18.719681122448982,947.22
CP15,Repentigny,PC,2026-04-05,51.779998779296875,XGBoost_Stratified,26.86725631633324,1391.19
CP15,Repentigny,PC,2026-04-12,77.9800033569336,XGBoost_Stratified,26.86725631633324,2095.11
CP15,Repentigny,PC,2026-04-19,109.30999755859375,XGBoost_Stratified,26.86725631633324,2936.86
CP16,Chicoutimi,LO,2026-03-29,9.75,XGBoost_Stratified,11.48598979013046,111.99
CP16,Chicoutimi,LO,2026-04-05,9.75,XGBoost_Stratified,7.638701456310679,74.48
CP16,Chicoutimi,LO,2026-04-12,18.489999771118164,XGBoost_Stratified,7.638701456310679,141.24
CP16,Chicoutimi,LO,2026-04-19,17.170000076293945,XGBoost_Stratified,7.638701456310679,131.16
CP16,Chicoutimi,ME,2026-03-29,17.700000762939453,XGBoost_Stratified,388.178801369863,6870.77
CP16,Chicoutimi,ME,2026-04-05,15.210000038146973,XGBoost_Stratified,430.5586688073395,6548.8
CP16,Chicoutimi,ME,2026-04-12,17.700000762939453,XGBoost_Stratified,430.5586688073395,7620.89
CP16,Chicoutimi,ME,2026-04-19,34.529998779296875,XGBoost_Stratified,430.5586688073395,14867.19
CP16,Chicoutimi,PC,2026-03-29,69.41000366210938,XGBoost_Stratified,21.391048387096774,1484.75
CP16,Chicoutimi,PC,2026-04-05,68.30999755859375,XGBoost_Stratified,20.657442151581822,1411.11
CP16,Chicoutimi,PC,2026-04-12,68.61000061035156,XGBoost_Stratified,20.657442151581822,1417.31
CP16,Chicoutimi,PC,2026-04-19,92.58999633789062,XGBoost_Stratified,20.657442151581822,1912.67
CP17,Trois-Rivières,PC,2026-03-29,104.44999694824219,XGBoost_Stratified,35.42375626539801,3700.01
CP17,Trois-Rivières,PC,2026-04-05,100.79000091552734,XGBoost_Stratified,33.05369562457349,3331.48
CP17,Trois-Rivières,PC,2026-04-12,108.72000122070312,XGBoost_Stratified,33.05369562457349,3593.6
CP17,Trois-Rivières,PC,2026-04-19,157.3300018310547,XGBoost_Stratified,33.05369562457349,5200.34
CP202,Nepean,PC,2026-03-29,67.97000122070312,XGBoost_Stratified,21.46562123493976,1459.02
CP202,Nepean,PC,2026-04-05,78.2699966430664,XGBoost_Stratified,21.28071208944794,1665.64
CP202,Nepean,PC,2026-04-12,79.66999816894531,XGBoost_Stratified,21.28071208944794,1695.43
CP202,Nepean,PC,2026-04-19,90.2300033569336,XGBoost_Stratified,21.28071208944794,1920.16
CP28,Pointe-aux-Trembles,PC,2026-03-29,34.72999954223633,XGBoost_Stratified,21.75638888888889,755.6
CP28,Pointe-aux-Trembles,PC,2026-04-05,52.34000015258789,XGBoost_Stratified,24.663980332880435,1290.91
CP28,Pointe-aux-Trembles,PC,2026-04-12,59.70000076293945,XGBoost_Stratified,24.663980332880435,1472.44
CP28,Pointe-aux-Trembles,PC,2026-04-19,86.8499984741211,XGBoost_Stratified,24.663980332880435,2142.07
CP32,St-Hyacinthe,PC,2026-03-29,51.959999084472656,XGBoost_Stratified,23.888975535168196,1241.27
CP32,St-Hyacinthe,PC,2026-04-05,69.97000122070312,XGBoost_Stratified,26.6131904892136,1862.12
CP32,St-Hyacinthe,PC,2026-04-12,91.01000213623047,XGBoost_Stratified,26.6131904892136,2422.07
CP32,St-Hyacinthe,PC,2026-04-19,114.38999938964844,XGBoost_Stratified,26.6131904892136,3044.28
CP33,Sorel-Tracy,PC,2026-03-29,15.489999771118164,XGBoost_Stratified,20.55373015873016,318.38
CP33,Sorel-Tracy,PC,2026-04-05,25.549999237060547,XGBoost_Stratified,23.573046906465905,602.29
CP33,Sorel-Tracy,PC,2026-04-12,31.0,XGBoost_Stratified,23.573046906465905,730.76
CP33,Sorel-Tracy,PC,2026-04-19,69.08999633789062,XGBoost_Stratified,23.573046906465905,1628.66
